Gennemsnitlig udgift pr. voksen autist ved brug af botilbud,2018,2019,2020,2021,2022,Velfærdsområde,Sektor
Midlertidigt botilbud,24.917.00 kr.,22.400.00 kr.,19.498.00 kr.,21.722.00 kr.,21.769.00 kr.,Sundhedsområdet,Kommune
Midlertidigt botilbud,33.384.00 kr.,29.573.00 kr.,27.892.00 kr.,30.151.00 kr.,29.686.00 kr.,Sundhedsområdet,Region
Midlertidigt botilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Sundhedsområdet,Stat
Midlertidigt botilbud,58.301.00 kr.,51.973.00 kr.,47.390.00 kr.,51.873.00 kr.,51.455.00 kr.,Sundhedsområdet,I alt
Midlertidigt botilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Uddannelsesområdet,Kommune
Midlertidigt botilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Uddannelsesområdet,Region
Midlertidigt botilbud,6.238.00 kr.,5.426.00 kr.,6.496.00 kr.,6.234.00 kr.,6.239.00 kr.,Uddannelsesområdet,Stat
Midlertidigt botilbud,6.238.00 kr.,5.426.00 kr.,6.496.00 kr.,6.234.00 kr.,6.239.00 kr.,Uddannelsesområdet,I alt
Botilbudslignende tilbud,1.875.587.00 kr.,1.860.597.00 kr.,1.870.001.00 kr.,1.861.205.00 kr.,1.859.816.00 kr.,I alt,I alt
Botilbudslignende tilbud,129.880.00 kr.,129.143.00 kr.,131.347.00 kr.,129.055.00 kr.,128.774.00 kr.,Beskæftigelsesområd,Kommune
Botilbudslignende tilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Beskæftigelsesområd,Region
Botilbudslignende tilbud,75.087.00 kr.,75.706.00 kr.,77.867.00 kr.,77.027.00 kr.,77.368.00 kr.,Beskæftigelsesområd,Stat
Botilbudslignende tilbud,204.967.00 kr.,204.849.00 kr.,209.213.00 kr.,206.082.00 kr.,206.142.00 kr.,Beskæftigelsesområd,I alt
Botilbudslignende tilbud,752.508.00 kr.,746.283.00 kr.,750.019.00 kr.,747.266.00 kr.,747.956.00 kr.,Socialområdet,Kommune
Botilbudslignende tilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Socialområdet,Region
Botilbudslignende tilbud,64.678.00 kr.,64.522.00 kr.,64.551.00 kr.,64.342.00 kr.,64.361.00 kr.,Socialområdet,Stat
Botilbudslignende tilbud,817.186.00 kr.,810.805.00 kr.,814.570.00 kr.,811.608.00 kr.,812.318.00 kr.,Socialområdet,I alt
