Målgruppe,Kommune,Alder,2018,2019,2020,2021,2022
Voksne med autisme,Langeland,31-40 år,*,*,*,*,*
Voksne med autisme,Langeland,41-50 år,*,*,*,*,*
Voksne med autisme,Lejre,31-40 år,*,*,*,*,*
Voksne med autisme,Lejre,41-50 år,*,*,*,*,*
Voksne med autisme,Lejre,51-65 år,*,*,*,*,*
Voksne med autisme,Odder,31-40 år,*,*,*,*,*
Voksne med autisme,Odder,41-50 år,*,*,*,*,*
Voksne med autisme,Odder,51-65 år,*,*,*,*,*
Voksne med autisme,Rebild,31-40 år,*,*,*,*,*
Voksne med autisme,Rebild,51-65 år,*,*,*,*,*
Voksne med autisme,Samsø,18-22 år,*,*,*,*,*
Voksne med autisme,Samsø,23-30 år,*,*,*,*,*
Voksne med autisme,Samsø,31-40 år,*,*,*,*,*
Voksne med autisme,Samsø,41-50 år,*,*,*,*,*
Voksne med autisme,Samsø,51-65 år,*,*,*,*,*
Voksne med autisme,Samsø,18-30 år,*,*,*,*,*
Voksne med autisme,Samsø,31-65 år,*,*,*,*,*
Voksne med autisme,Samsø,Alder i alt,*,*,*,*,*
Voksne med autisme,Solrød,41-50 år,*,*,*,*,*
Voksne med autisme,Solrød,51-65 år,*,*,*,*,*
Voksne med autisme,Stevns,31-40 år,*,*,*,*,*
Voksne med autisme,Stevns,41-50 år,*,*,*,*,*
Voksne med autisme,Stevns,51-65 år,*,*,*,*,*
Voksne med autisme,Vallensbæk,31-40 år,*,*,*,*,*
Voksne med autisme,Vallensbæk,41-50 år,*,*,*,*,*
Voksne med autisme,Vallensbæk,51-65 år,*,*,*,*,*
Voksne med autisme,Hele landet,Alder i alt,24732,28322,31984,36125,40610
Voksne med autisme,Hele landet,18-30 år,19033,21559,24062,26797,29662
Voksne med autisme,Hele landet,23-30 år,9005,10455,12043,13643,15372
Voksne med autisme,Hele landet,18-22 år,10028,11104,12019,13154,14290
Voksne med autisme,Hele landet,31-65 år,5699,6763,7922,9328,10948
Voksne med autisme,Hele landet,31-40 år,3292,3991,4778,5774,6953
Voksne med autisme,København,Alder i alt,2561,3051,3530,4083,4613
Voksne med autisme,København,18-30 år,2012,2399,2738,3143,3480
Voksne med autisme,Aarhus,Alder i alt,1483,1718,1909,2168,2447
Voksne med autisme,Hele landet,41-50 år,1461,1683,1896,2145,2414
Voksne med autisme,Aalborg,Alder i alt,1385,1617,1852,2088,2320
Voksne med autisme,København,23-30 år,956,1162,1418,1657,1931
Voksne med autisme,Aarhus,18-30 år,1129,1313,1448,1629,1797
Voksne med autisme,Aalborg,18-30 år,989,1142,1304,1468,1617
Voksne med autisme,Hele landet,51-65 år,946,1089,1248,1409,1581
Voksne med autisme,København,18-22 år,1056,1237,1320,1486,1549
Voksne med autisme,København,31-65 år,549,652,792,940,1133
Voksne med autisme,Aarhus,23-30 år,627,734,830,956,1055
Voksne med autisme,Aalborg,23-30 år,567,680,803,940,1044
Voksne med autisme,Odense,Alder i alt,661,729,828,917,1029
Voksne med autisme,Odense,18-30 år,527,575,654,713,786
Voksne med autisme,Roskilde,Alder i alt,421,488,588,673,785
Voksne med autisme,Aarhus,18-22 år,502,579,618,673,742
Voksne med autisme,Randers,Alder i alt,476,525,584,634,734
Voksne med autisme,Herning,Alder i alt,512,562,621,672,732
Voksne med autisme,Vejle,Alder i alt,444,499,566,657,732
Voksne med autisme,København,31-40 år,298,373,463,569,710
Voksne med autisme,Slagelse,Alder i alt,393,467,542,635,707
Voksne med autisme,Aalborg,31-65 år,396,475,548,620,703
Voksne med autisme,Viborg,Alder i alt,440,499,562,614,696
Voksne med autisme,Kolding,Alder i alt,383,466,517,585,662
Voksne med autisme,Esbjerg,Alder i alt,382,434,499,575,657
Voksne med autisme,Roskilde,18-30 år,369,427,502,562,651
Voksne med autisme,Aarhus,31-65 år,354,405,461,539,650
Voksne med autisme,Næstved,Alder i alt,331,385,456,548,639
Voksne med autisme,Silkeborg,Alder i alt,381,426,472,534,615
Voksne med autisme,Frederiksberg,Alder i alt,364,416,468,549,588
Voksne med autisme,Gladsaxe,Alder i alt,372,436,477,528,577
Voksne med autisme,Aalborg,18-22 år,422,462,501,528,573
Voksne med autisme,Horsens,Alder i alt,352,403,453,492,567
Voksne med autisme,Hjørring,Alder i alt,350,406,449,495,560
Voksne med autisme,Holbæk,Alder i alt,299,353,401,463,557
Voksne med autisme,Vejle,18-30 år,356,390,439,495,546
Voksne med autisme,Odense,23-30 år,307,340,403,450,529
Voksne med autisme,Slagelse,18-30 år,304,361,413,486,529
Voksne med autisme,Kolding,18-30 år,314,382,419,473,521
Voksne med autisme,Randers,18-30 år,352,383,415,441,510
Voksne med autisme,Herning,18-30 år,375,411,433,461,497
Voksne med autisme,Sønderborg,Alder i alt,313,346,388,443,495
Voksne med autisme,Ballerup,Alder i alt,287,342,380,421,486
Voksne med autisme,Hillerød,Alder i alt,251,300,353,439,485
Voksne med autisme,Næstved,18-30 år,253,293,349,415,483
Voksne med autisme,Holstebro,Alder i alt,345,366,405,439,478
Voksne med autisme,Lyngby-Taarbæk,Alder i alt,243,290,337,404,472
Voksne med autisme,Esbjerg,18-30 år,293,325,370,421,465
Voksne med autisme,Holbæk,18-30 år,253,294,336,384,464
Voksne med autisme,Viborg,18-30 år,314,346,383,412,463
Voksne med autisme,Frederiksberg,18-30 år,289,320,373,435,458
Voksne med autisme,Køge,Alder i alt,275,306,347,397,454
Voksne med autisme,Aarhus,31-40 år,239,266,303,364,450
Voksne med autisme,Aalborg,31-40 år,230,275,325,370,431
Voksne med autisme,Gladsaxe,18-30 år,293,337,362,400,426
Voksne med autisme,Silkeborg,18-30 år,289,313,334,373,420
Voksne med autisme,Horsens,18-30 år,279,318,347,368,417
Voksne med autisme,Fredericia,Alder i alt,239,293,338,359,415
Voksne med autisme,Høje-Taastrup,Alder i alt,250,276,304,361,412
Voksne med autisme,Frederikshavn,Alder i alt,251,304,338,378,411
Voksne med autisme,Hvidovre,Alder i alt,244,276,312,351,411
Voksne med autisme,Kalundborg,Alder i alt,237,279,300,343,411
Voksne med autisme,Hillerød,18-30 år,214,249,292,362,389
Voksne med autisme,Bornholm,Alder i alt,297,318,357,371,386
Voksne med autisme,Roskilde,18-22 år,230,255,290,329,380
Voksne med autisme,Helsingør,Alder i alt,217,240,272,310,372
Voksne med autisme,Lyngby-Taarbæk,18-30 år,195,229,258,313,369
Voksne med autisme,Køge,18-30 år,226,250,280,317,367
Voksne med autisme,Ballerup,18-30 år,235,279,307,326,366
Voksne med autisme,Sønderborg,18-30 år,230,254,283,322,353
Voksne med autisme,Gentofte,Alder i alt,230,246,277,299,350
Voksne med autisme,Ringkøbing-Skjern,Alder i alt,239,257,277,321,346
Voksne med autisme,Mariagerfjord,Alder i alt,198,233,253,293,345
Voksne med autisme,Aabenraa,Alder i alt,238,257,291,318,343
Voksne med autisme,Hjørring,18-30 år,238,274,290,309,342
Voksne med autisme,Albertslund,Alder i alt,234,271,301,309,339
Voksne med autisme,Skive,Alder i alt,249,268,293,317,338
Voksne med autisme,Greve,Alder i alt,178,206,265,296,337
Voksne med autisme,Haderslev,Alder i alt,204,225,256,282,333
Voksne med autisme,Guldborgsund,Alder i alt,222,242,276,303,331
Voksne med autisme,Frederikssund,Alder i alt,163,213,254,282,330
Voksne med autisme,Jammerbugt,Alder i alt,197,242,258,298,330
Voksne med autisme,Egedal,Alder i alt,202,222,261,287,329
Voksne med autisme,Norddjurs,Alder i alt,230,255,301,336,326
Voksne med autisme,Rødovre,Alder i alt,197,224,259,287,324
Voksne med autisme,Rudersdal,Alder i alt,216,228,257,290,324
Voksne med autisme,Skanderborg,Alder i alt,211,238,265,303,323
Voksne med autisme,Brønderslev,Alder i alt,177,223,245,276,322
Voksne med autisme,Kalundborg,18-30 år,184,224,236,267,317
Voksne med autisme,Hvidovre,18-30 år,201,221,249,273,315
Voksne med autisme,Fredericia,18-30 år,190,231,257,265,310
Voksne med autisme,Høje-Taastrup,18-30 år,198,208,226,271,308
Voksne med autisme,Vordingborg,Alder i alt,202,223,248,278,306
Voksne med autisme,Holstebro,18-30 år,243,246,274,287,305
Voksne med autisme,Helsingør,18-30 år,185,204,227,254,301
Voksne med autisme,Ikast-Brande,Alder i alt,195,225,247,266,300
Voksne med autisme,Furesø,Alder i alt,195,227,245,265,298
Voksne med autisme,Randers,23-30 år,189,214,230,255,290
Voksne med autisme,Greve,18-30 år,160,186,241,263,289
Voksne med autisme,Lolland,Alder i alt,176,198,210,248,286
Voksne med autisme,Slagelse,18-22 år,168,193,221,264,284
Voksne med autisme,Vejle,23-30 år,167,197,214,252,281
Voksne med autisme,Tårnby,Alder i alt,181,209,229,243,278
Voksne med autisme,Holbæk,18-22 år,169,198,213,232,277
Voksne med autisme,Vesthimmerlands,Alder i alt,183,198,225,254,272
Voksne med autisme,Aabenraa,18-30 år,184,200,225,249,271
Voksne med autisme,Gribskov,Alder i alt,150,173,197,234,271
Voksne med autisme,Roskilde,23-30 år,139,172,212,233,271
Voksne med autisme,Brøndby,Alder i alt,175,200,214,243,269
Voksne med autisme,Favrskov,Alder i alt,159,175,189,218,269
Voksne med autisme,Thisted,Alder i alt,186,196,219,232,266
Voksne med autisme,Kolding,23-30 år,147,195,212,250,265
Voksne med autisme,Vejle,18-22 år,189,193,225,243,265
Voksne med autisme,Herning,23-30 år,207,227,224,240,264
Voksne med autisme,Frederikssund,18-30 år,134,174,206,225,261
Voksne med autisme,Esbjerg,23-30 år,158,180,204,238,259
Voksne med autisme,Syddjurs,Alder i alt,141,169,196,225,259
Voksne med autisme,Bornholm,18-30 år,235,242,264,264,257
Voksne med autisme,Haderslev,18-30 år,164,178,202,217,257
Voksne med autisme,Odense,18-22 år,220,235,251,263,257
Voksne med autisme,Gentofte,18-30 år,177,188,208,215,256
Voksne med autisme,Kolding,18-22 år,167,187,207,223,256
Voksne med autisme,Rudersdal,18-30 år,190,196,221,241,256
Voksne med autisme,Sorø,Alder i alt,162,177,207,228,256
Voksne med autisme,Egedal,18-30 år,171,178,209,225,255
Voksne med autisme,Svendborg,Alder i alt,176,191,204,228,255
Voksne med autisme,Frederiksberg,23-30 år,136,139,188,230,254
Voksne med autisme,København,41-50 år,152,161,192,219,254
Voksne med autisme,Frederikshavn,18-30 år,176,209,225,238,252
Voksne med autisme,Skanderborg,18-30 år,175,191,210,239,252
Voksne med autisme,Albertslund,18-30 år,188,212,228,226,247
Voksne med autisme,Glostrup,Alder i alt,156,176,200,219,247
Voksne med autisme,Ringsted,Alder i alt,144,170,198,224,247
Voksne med autisme,Rødovre,18-30 år,153,170,194,216,246
Voksne med autisme,Slagelse,23-30 år,136,168,192,222,245
Voksne med autisme,Næstved,18-22 år,151,160,188,213,244
Voksne med autisme,Viborg,23-30 år,172,179,188,219,244
Voksne med autisme,Odense,31-65 år,134,154,174,204,243
Voksne med autisme,Hedensted,Alder i alt,150,166,191,216,242
Voksne med autisme,Næstved,23-30 år,102,133,161,202,239
Voksne med autisme,Fredensborg,Alder i alt,149,163,183,223,237
Voksne med autisme,Herlev,Alder i alt,147,170,188,218,236
Voksne med autisme,Faxe,Alder i alt,123,148,170,199,235
Voksne med autisme,Herning,31-65 år,137,151,188,211,235
Voksne med autisme,Guldborgsund,18-30 år,166,177,202,216,233
Voksne med autisme,Herning,18-22 år,168,184,209,221,233
Voksne med autisme,Viborg,31-65 år,126,153,179,202,233
Voksne med autisme,Gladsaxe,23-30 år,130,165,203,215,232
Voksne med autisme,Ringkøbing-Skjern,18-30 år,171,183,193,225,232
Voksne med autisme,Furesø,18-30 år,153,174,191,199,227
Voksne med autisme,Lejre,Alder i alt,126,143,158,196,225
Voksne med autisme,Horsens,23-30 år,136,167,190,194,224
Voksne med autisme,Randers,31-65 år,124,142,169,193,224
Voksne med autisme,Halsnæs,Alder i alt,146,175,188,206,223
Voksne med autisme,Odsherred,Alder i alt,139,158,173,217,223
Voksne med autisme,Vordingborg,18-30 år,154,165,186,210,223
Voksne med autisme,Mariagerfjord,18-30 år,143,161,175,193,220
Voksne med autisme,Randers,18-22 år,163,169,185,186,220
Voksne med autisme,Skive,18-30 år,168,180,197,211,220
Voksne med autisme,Viborg,18-22 år,142,167,195,193,219
Voksne med autisme,Hjørring,31-65 år,112,132,159,186,218
Voksne med autisme,Norddjurs,18-30 år,164,181,214,237,217
Voksne med autisme,Tårnby,18-30 år,147,168,182,190,217
Voksne med autisme,Silkeborg,23-30 år,155,156,168,194,211
Voksne med autisme,Silkeborg,18-22 år,134,157,166,179,209
Voksne med autisme,Jammerbugt,18-30 år,138,168,169,185,207
Voksne med autisme,Esbjerg,18-22 år,135,145,166,183,206
Voksne med autisme,Frederiksberg,18-22 år,153,181,185,205,204
Voksne med autisme,Hillerød,18-22 år,130,155,176,207,202
Voksne med autisme,Hjørring,23-30 år,131,151,164,186,200
Voksne med autisme,Rebild,Alder i alt,90,116,147,165,200
Voksne med autisme,Varde,Alder i alt,139,155,166,177,200
Voksne med autisme,Favrskov,18-30 år,122,130,136,159,199
Voksne med autisme,Gribskov,18-30 år,116,136,148,176,199
Voksne med autisme,Brønderslev,18-30 år,117,150,162,174,198
Voksne med autisme,Ikast-Brande,18-30 år,144,161,178,184,197
Voksne med autisme,Lejre,18-30 år,108,124,138,173,197
Voksne med autisme,Faaborg-Midtfyn,Alder i alt,150,167,168,188,196
Voksne med autisme,Silkeborg,31-65 år,92,113,138,161,195
Voksne med autisme,Tønder,Alder i alt,131,156,171,181,195
Voksne med autisme,Vejen,Alder i alt,129,140,152,168,195
Voksne med autisme,Brøndby,18-30 år,137,156,162,179,194
Voksne med autisme,Gladsaxe,18-22 år,163,172,159,185,194
Voksne med autisme,Køge,18-22 år,142,165,176,193,194
Voksne med autisme,Horsens,18-22 år,143,151,157,174,193
Voksne med autisme,Esbjerg,31-65 år,89,109,129,154,192
Voksne med autisme,Lyngby-Taarbæk,23-30 år,88,103,125,155,190
Voksne med autisme,Sønderborg,18-22 år,140,152,179,189,189
Voksne med autisme,Syddjurs,18-30 år,96,116,137,158,188
Voksne med autisme,Hillerød,23-30 år,84,94,116,155,187
Voksne med autisme,Holbæk,23-30 år,84,96,123,152,187
Voksne med autisme,Sorø,18-30 år,116,128,154,172,187
Voksne med autisme,Ballerup,23-30 år,110,127,145,153,186
Voksne med autisme,Vejle,31-65 år,88,109,127,162,186
Voksne med autisme,Aalborg,41-50 år,109,134,150,165,183
Voksne med autisme,Greve,18-22 år,114,131,165,169,183
Voksne med autisme,Lolland,18-30 år,123,134,138,164,183
Voksne med autisme,Glostrup,18-30 år,124,135,156,166,182
Voksne med autisme,Kalundborg,18-22 år,109,130,135,151,182
Voksne med autisme,Ballerup,18-22 år,125,152,162,173,180
Voksne med autisme,Herlev,18-30 år,123,141,150,169,179
Voksne med autisme,Lyngby-Taarbæk,18-22 år,107,126,133,158,179
Voksne med autisme,Ringsted,18-30 år,111,129,148,169,179
Voksne med autisme,Middelfart,Alder i alt,116,128,147,160,178
Voksne med autisme,Slagelse,31-65 år,89,106,129,149,178
Voksne med autisme,Vesthimmerlands,18-30 år,134,141,153,171,178
Voksne med autisme,Allerød,Alder i alt,117,135,151,160,177
Voksne med autisme,Fredensborg,18-30 år,111,121,136,169,176
Voksne med autisme,Thisted,18-30 år,135,142,156,159,176
Voksne med autisme,Hedensted,18-30 år,112,127,143,158,175
Voksne med autisme,Struer,Alder i alt,132,141,140,156,174
Voksne med autisme,Holstebro,31-65 år,102,120,131,152,173
Voksne med autisme,Køge,23-30 år,84,85,104,124,173
Voksne med autisme,Halsnæs,18-30 år,122,143,148,159,172
Voksne med autisme,Helsingør,18-22 år,112,117,129,137,172
Voksne med autisme,Faxe,18-30 år,100,120,134,149,170
Voksne med autisme,København,51-65 år,99,118,137,152,169
Voksne med autisme,Odsherred,18-30 år,110,125,136,169,167
Voksne med autisme,Egedal,18-22 år,116,115,136,144,165
Voksne med autisme,Holstebro,23-30 år,145,144,161,164,165
Voksne med autisme,Sønderborg,23-30 år,90,102,104,133,164
Voksne med autisme,Svendborg,18-30 år,115,125,138,152,164
Voksne med autisme,Odense,31-40 år,80,92,107,133,163
Voksne med autisme,Hvidovre,18-22 år,109,125,130,143,162
Voksne med autisme,Frederikssund,18-22 år,85,114,122,138,160
Voksne med autisme,Fredericia,23-30 år,107,125,146,144,159
Voksne med autisme,Frederikshavn,31-65 år,75,95,113,140,159
Voksne med autisme,Odder,Alder i alt,105,107,124,136,159
Voksne med autisme,Herning,31-40 år,83,93,122,133,157
Voksne med autisme,Stevns,Alder i alt,78,94,113,130,157
Voksne med autisme,Viborg,31-40 år,75,95,121,141,157
Voksne med autisme,Næstved,31-65 år,78,92,107,133,156
Voksne med autisme,Høje-Taastrup,23-30 år,91,96,109,135,155
Voksne med autisme,Ishøj,Alder i alt,111,129,153,162,154
Voksne med autisme,Høje-Taastrup,18-22 år,107,112,117,136,153
Voksne med autisme,Hvidovre,23-30 år,92,96,119,130,153
Voksne med autisme,Randers,31-40 år,87,97,111,131,152
Voksne med autisme,Bornholm,23-30 år,110,115,136,152,151
Voksne med autisme,Fredericia,18-22 år,83,106,111,121,151
Voksne med autisme,Gladsaxe,31-65 år,79,99,115,128,151
Voksne med autisme,Horsens,31-65 år,73,85,106,124,150
Voksne med autisme,Tønder,18-30 år,97,118,130,140,150
Voksne med autisme,Assens,Alder i alt,103,120,127,144,147
Voksne med autisme,Hørsholm,Alder i alt,87,96,103,131,146
Voksne med autisme,Rudersdal,18-22 år,115,112,131,139,146
Voksne med autisme,Aabenraa,18-22 år,111,112,132,143,143
Voksne med autisme,Billund,Alder i alt,78,78,91,121,143
Voksne med autisme,Frederikshavn,23-30 år,91,107,128,139,143
Voksne med autisme,Skanderborg,18-22 år,105,105,118,134,143
Voksne med autisme,Aarhus,41-50 år,67,90,106,119,142
Voksne med autisme,Hjørring,18-22 år,107,123,126,123,142
Voksne med autisme,Silkeborg,31-40 år,63,79,98,115,142
Voksne med autisme,Sønderborg,31-65 år,83,92,105,121,142
Voksne med autisme,Kolding,31-65 år,69,84,98,112,141
Voksne med autisme,Holstebro,18-22 år,98,102,113,123,140
Voksne med autisme,Esbjerg,31-40 år,60,73,90,109,139
Voksne med autisme,Gentofte,18-22 år,111,108,116,114,137
Voksne med autisme,Allerød,18-30 år,101,111,122,123,136
Voksne med autisme,Rebild,18-30 år,67,85,110,114,136
Voksne med autisme,Varde,18-30 år,98,112,118,121,136
Voksne med autisme,Kalundborg,23-30 år,75,94,101,116,135
Voksne med autisme,Skive,23-30 år,91,102,111,123,135
Voksne med autisme,Solrød,Alder i alt,93,98,114,128,135
Voksne med autisme,Roskilde,31-65 år,52,61,86,111,134
Voksne med autisme,Hjørring,31-40 år,63,75,99,108,132
Voksne med autisme,Lemvig,Alder i alt,104,112,125,134,132
Voksne med autisme,Vejen,18-30 år,97,101,103,107,132
Voksne med autisme,Frederiksberg,31-65 år,75,96,95,114,130
Voksne med autisme,Gribskov,18-22 år,78,82,90,106,130
Voksne med autisme,Haderslev,18-22 år,91,91,98,109,130
Voksne med autisme,Bornholm,31-65 år,62,76,93,107,129
Voksne med autisme,Helsingør,23-30 år,73,87,98,117,129
Voksne med autisme,Odder,18-30 år,84,87,98,111,129
Voksne med autisme,Aabenraa,23-30 år,73,88,93,106,128
Voksne med autisme,Albertslund,23-30 år,94,102,114,111,128
Voksne med autisme,Haderslev,23-30 år,73,87,104,108,127
Voksne med autisme,Ringkøbing-Skjern,23-30 år,86,96,107,120,127
Voksne med autisme,Furesø,18-22 år,93,102,102,109,126
Voksne med autisme,Rødovre,23-30 år,63,79,91,100,126
Voksne med autisme,Lejre,18-22 år,73,79,85,106,125
Voksne med autisme,Mariagerfjord,31-65 år,55,72,78,100,125
Voksne med autisme,Brønderslev,31-65 år,60,73,83,102,124
Voksne med autisme,Faaborg-Midtfyn,18-30 år,106,120,120,123,123
Voksne med autisme,Jammerbugt,31-65 år,59,74,89,113,123
Voksne med autisme,Ballerup,31-65 år,52,63,73,95,120
Voksne med autisme,Favrskov,18-22 år,63,69,71,85,120
Voksne med autisme,Guldborgsund,18-22 år,89,96,108,114,120
Voksne med autisme,Rødovre,18-22 år,90,91,103,116,120
Voksne med autisme,Albertslund,18-22 år,94,110,114,115,119
Voksne med autisme,Gentofte,23-30 år,66,80,92,101,119
Voksne med autisme,Holstebro,31-40 år,68,78,84,104,119
Voksne med autisme,Norddjurs,23-30 år,61,72,98,119,119
Voksne med autisme,Stevns,18-30 år,55,67,83,99,119
Voksne med autisme,Hørsholm,18-30 år,72,80,83,106,118
Voksne med autisme,Skive,31-65 år,81,88,96,106,118
Voksne med autisme,Nyborg,Alder i alt,69,76,85,100,117
Voksne med autisme,Solrød,18-30 år,83,87,101,111,117
Voksne med autisme,Ishøj,18-30 år,97,107,126,128,116
Voksne med autisme,Vejle,31-40 år,43,50,60,90,116
Voksne med autisme,Jammerbugt,23-30 år,66,74,85,98,114
Voksne med autisme,Ringkøbing-Skjern,31-65 år,68,74,84,96,114
Voksne med autisme,Vordingborg,23-30 år,66,77,81,94,114
Voksne med autisme,Guldborgsund,23-30 år,77,81,94,102,113
Voksne med autisme,Mariagerfjord,23-30 år,72,78,89,94,113
Voksne med autisme,Morsø,Alder i alt,65,77,85,98,112
Voksne med autisme,Tårnby,18-22 år,99,105,110,107,112
Voksne med autisme,Syddjurs,18-22 år,57,72,83,92,111
Voksne med autisme,Middelfart,18-30 år,81,85,100,104,110
Voksne med autisme,Rudersdal,23-30 år,75,84,90,102,110
Voksne med autisme,Frederikshavn,18-22 år,85,102,97,99,109
Voksne med autisme,Norddjurs,31-65 år,66,74,87,99,109
Voksne med autisme,Skanderborg,23-30 år,70,86,92,105,109
