Adresse,Link,Type,Pris,Værelser,Boligstørrelse,Grundstørrelse,latitude,longitude
"Ladelundvej 57,  6650 Brørup",https://www.boliga.dk/adresse/ladelundvej-57-6650-broerup-1084875742,Villa med 6 værelser,1.995.000 kr.,6,220 m²,17.076 m²,55.483244,9.036613
"Stenløsevej 261, Stenløse,  5260 Odense S",https://www.boliga.dk/adresse/stenloesevej-261-5260-odense-s-953428310,Villa med 5 værelser,2.145.000 kr.,5,152 m²,1.829 m²,,
"Kanalvejen 2,  4873 Væggerløse",https://www.boliga.dk/adresse/kanalvejen-2-4873-vaeggerloese-1436039531,Villa med 8 værelser,2.195.000 kr.,8,369 m²,11.324 m²,54.682273,11.90718
,,4270 Høng,2.250.000 kr.,,,,,
"Enggårdsvej 15, Sørup,  9530 Støvring",https://www.boliga.dk/adresse/enggaardsvej-15-9530-stoevring-1510649027,Villa med 5 værelser,2.295.000 kr.,5,170 m²,3.584 m²,56.89076,9.785194
"Lethenborgvej 15,  8660 Skanderborg",https://www.boliga.dk/adresse/lethenborgvej-15-8660-skanderborg-1135930002,Villa med 7 værelser,2.295.000 kr.,7,236 m²,3.034 m²,56.00355,10.038745
"Sommerfugledalen 8, Sølager,  3390 Hundested",https://www.boliga.dk/adresse/sommerfugledalen-8-3390-hundested-1017846577,Fritidshus med 4 værelser,2.395.000 kr.,4,72 m²,1.635 m²,55.949656,11.901568
"Ryagervej 33, Tibirke Sand,  3300 Frederiksværk",https://www.boliga.dk/adresse/ryagervej-33-3300-frederiksvaerk-1276761711,Fritidshus med 3 værelser,2.395.000 kr.,3,55 m²,2.674 m²,,
"Milevej 13, Klegod,  6950 Ringkøbing",https://www.boliga.dk/adresse/milevej-13-6950-ringkoebing-246051615,Fritidshus med 5 værelser,2.398.000 kr.,5,91 m²,2.000 m²,56.089413,8.114964
"Solåsen 3,  4500 Nykøbing Sj",https://www.boliga.dk/adresse/solaasen-3-4500-nykoebing-sj-1294102032,Fritidshus med 4 værelser,2.475.000 kr.,4,79 m²,2.500 m²,55.947612,11.492163
"Ringvej 24,  6500 Vojens",https://www.boliga.dk/adresse/ringvej-24-6500-vojens-1539742558,Landejendom med 2 værelser,2.475.000 kr.,2,197 m²,39.800 m²,55.253474,9.355821
"Kringelbækvej 30,  9480 Løkken",https://www.boliga.dk/adresse/kringelbaekvej-30-9480-loekken-82666494,Fritidshus med 4 værelser,2.475.000 kr.,4,111 m²,2.002 m²,57.322393,9.684892
"Potmosevej 13, Monbjerg,  8752 Østbirk",https://www.boliga.dk/adresse/potmosevej-13-8752-oestbirk-151949292,Villa med 6 værelser,2.495.000 kr.,6,195 m²,1.950 m²,,
"Holbækvej 298, Knabstrup,  4440 Mørkøv",https://www.boliga.dk/adresse/holbaekvej-298-4440-moerkoev-1047263365,Landejendom med 8 værelser,2.495.000 kr.,8,180 m²,38.000 m²,55.660145,11.550721
"Risemarksvej 3,  5970 Ærøskøbing",https://www.boliga.dk/adresse/risemarksvej-3-5970-aeroeskoebing-1231452792,Villa med 6 værelser,2.595.000 kr.,6,163 m²,1.766 m²,54.850049,10.397662
"A Hveyselsvej 24, Vråby,  6792 Rømø",https://www.boliga.dk/adresse/a-hveyselsvej-24-6792-roemoe-1810558365,Fritidshus med 6 værelser,2.598.000 kr.,6,115 m²,2.555 m²,,
"Froidal 18, Toftum,  6792 Rømø",https://www.boliga.dk/adresse/froidal-18-6792-roemoe-785943856,Fritidshus med 7 værelser,2.645.000 kr.,7,148 m²,1.503 m²,,
"Udemarken 51,  9800 Hjørring",https://www.boliga.dk/adresse/udemarken-51-9800-hjoerring-2110291008,Fritidshus med 6 værelser,2.645.000 kr.,6,120 m²,2.500 m²,57.511614,9.861028
"Abildgården 17,  3390 Hundested",https://www.boliga.dk/adresse/abildgaarden-17-3390-hundested-886065719,Fritidshus med 4 værelser,2.795.000 kr.,4,68 m²,2.148 m²,55.994175,11.924004
"Vardevej 2B, Tømmerby,  6740 Bramming",https://www.boliga.dk/adresse/vardevej-2b-6740-bramming-1348735714,Villa med 8 værelser,2.848.000 kr.,8,288 m²,2.641 m²,,
"Strandvejen 338,  9340 Asaa",https://www.boliga.dk/adresse/strandvejen-338-9340-asaa-562054610,Villa med 6 værelser,2.995.000 kr.,6,300 m²,5.107 m²,57.138839,10.392651
"Fynslundvej 34, Højrup,  6064 Jordrup",https://www.boliga.dk/adresse/fynslundvej-34-6064-jordrup-1326628277,Villa med 5 værelser,2.995.000 kr.,5,144 m²,3.491 m²,55.522479,9.359672
"Vandmestervej 36,  2630 Taastrup",https://www.boliga.dk/adresse/vandmestervej-36-2630-taastrup-1903712235,Helårsgrund,2.995.000 kr.,1.833 m²,Ejerudgift: 2.124 kr. / md.,,55.637025,12.282997
"Ulriksdalsvej 3, Nørre Vedby,  4840 Nørre Alslev",https://www.boliga.dk/adresse/ulriksdalsvej-3-4840-noerre-alslev-962149483,Villa med 5 værelser,2.995.000 kr.,5,250 m²,17.193 m²,54.92421,11.849545
"Stendalvej 6, Skræ,  8620 Kjellerup",https://www.boliga.dk/adresse/stendalvej-6-8620-kjellerup-1407436031,Landejendom med 7 værelser,2.995.000 kr.,7,267 m²,13.000 m²,56.310315,9.310037
"Sortkærvej 9,  9900 Frederikshavn",https://www.boliga.dk/adresse/sortkaervej-9-9900-frederikshavn-1764597293,Landejendom med 10 værelser,3.295.000 kr.,10,352 m²,102.440 m²,57.48361,10.406505
"Køgevej 71, St Tårnby,  4652 Hårlev",https://www.boliga.dk/adresse/koegevej-71-st-4652-haarlev-3247924,Villa med 4 værelser,3.300.000 kr.,4,146 m²,9.015 m²,55.381658,12.2554
"Egebjergvej 124,  8700 Horsens",https://www.boliga.dk/adresse/egebjergvej-124-8700-horsens-499493593,Villa med 3 værelser,3.495.000 kr.,3,167 m²,10.026 m²,55.896968,9.840454
"Tølhøj 48,  9493 Saltum",https://www.boliga.dk/adresse/toelhoej-48-9493-saltum-697310745,Fritidshus med 6 værelser,3.495.000 kr.,6,164 m²,2.500 m²,57.291632,9.653907
"Regnspovevej 6, Tibirke Sand,  3300 Frederiksværk",https://www.boliga.dk/adresse/regnspovevej-6-3300-frederiksvaerk-1026940493,Fritidshus med 6 værelser,3.495.000 kr.,6,96 m²,2.122 m²,,
"Hedebyvej 8, Ringive - Del 1,  7323 Give",https://www.boliga.dk/adresse/hedebyvej-8-7323-give-311144814?e=2217883,Landejendom med 5 værelser,3.500.000 kr.,5,101 m²,92.000 m²,,
"Enebærvej 3,  9493 Saltum",https://www.boliga.dk/adresse/enebaervej-3-9493-saltum-635972183,Fritidshus med 4 værelser,3.598.000 kr.,4,94 m²,2.500 m²,57.296247,9.633782
"Herningvej 55, Nikkelborg,  7800 Skive",https://www.boliga.dk/adresse/herningvej-55-7800-skive-254065120,Villa med 3 værelser,3.695.000 kr.,3,146 m²,12.842 m²,,
"Desmervej 12,  8400 Ebeltoft",https://www.boliga.dk/adresse/desmervej-12-8400-ebeltoft-42182362,Villa med 4 værelser,3.745.000 kr.,4,294 m²,1.527 m²,56.216191,10.679043
"Søndergade 41, Hou,  9370 Hals",https://www.boliga.dk/adresse/soendergade-41-9370-hals-227838865,Fritidshus med 4 værelser,3.950.000 kr.,4,115 m²,5.420 m²,57.051039,10.371268
"Vejle Landevej 104,  7000 Fredericia",https://www.boliga.dk/adresse/vejle-landevej-104-7000-fredericia-1843012670,Landejendom med 5 værelser,3.995.000 kr.,5,246 m²,27.523 m²,55.581646,9.659742
"Dageløkkevej 19,  5953 Tranekær",https://www.boliga.dk/adresse/dageloekkevej-19-5953-tranekaer-395143603,Villa med 8 værelser,3.995.000 kr.,8,210 m²,1.757 m²,55.061019,10.86492
"Nørrevang 2,  6780 Skærbæk",https://www.boliga.dk/adresse/noerrevang-2-6780-skaerbaek-795064775,Villa med 7 værelser,3.995.000 kr.,7,409 m²,2.400 m²,55.162299,8.762078
"Brombærhækken 15,  4500 Nykøbing Sj",https://www.boliga.dk/adresse/brombaerhaekken-15-4500-nykoebing-sj-537898312,Fritidshus med 3 værelser,3.995.000 kr.,3,74 m²,1.592 m²,55.936064,11.661208
"Lille Strandvej 14,  3310 Ølsted",https://www.boliga.dk/adresse/lille-strandvej-14-3310-oelsted-933948860,Fritidshus med 5 værelser,4.500.000 kr.,5,99 m²,1.768 m²,55.900085,12.048088
"Kvievej 22,  6823 Ansager",https://www.boliga.dk/adresse/kvievej-22-6823-ansager-606038660,Villa med 6 værelser,4.598.000 kr.,6,151 m²,145.907 m²,55.724681,8.785986
"Karlslunde Centervej 124,  2690 Karlslunde",https://www.boliga.dk/adresse/karlslunde-centervej-124-2690-karlslunde-1440859061,Villa med 6 værelser,4.995.000 kr.,6,174 m²,14.996 m²,55.57446,12.198166
"Julsøvej 25, Sejs-Svejbæk,  8600 Silkeborg",https://www.boliga.dk/adresse/julsoevej-25-8600-silkeborg-738503860,Villa med 6 værelser,5.200.000 kr.,6,215 m²,2.395 m²,56.142163,9.597657
"Karrebækvej 570, Skraverup,  4700 Næstved",https://www.boliga.dk/adresse/karrebaekvej-570-4700-naestved-450326814,Villa med 5 værelser,5.250.000 kr.,5,233 m²,10.734 m²,55.209629,11.684811
"Slots Bjergbyvej 35, Slots bjergby,  4200 Slagelse",https://www.boliga.dk/adresse/slots-bjergbyvej-35-4200-slagelse-1493896789,Landejendom med 7 værelser,5.995.000 kr.,7,386 m²,31.900 m²,55.372046,11.338112
"Rønhøjs Ager 15,  8300 Odder",https://www.boliga.dk/adresse/roenhoejs-ager-15-8300-odder-399665960,Villa med 7 værelser,6.995.000 kr.,7,303 m²,4.038 m²,55.97706,10.122101
"Mosevej 10,  3600 Frederikssund",https://www.boliga.dk/adresse/mosevej-10-3600-frederikssund-1325062305,Landejendom med 8 værelser,7.500.000 kr.,8,182 m²,35.230 m²,55.805885,12.09301
"Bøllingvej 21,  6064 Jordrup",https://www.boliga.dk/adresse/boellingvej-21-6064-jordrup-1102817485,Landejendom med 8 værelser,7.995.000 kr.,8,318 m²,40.009 m²,55.561527,9.310862
"Lysemosen 30,  8600 Silkeborg",https://www.boliga.dk/adresse/lysemosen-30-8600-silkeborg-480829753,Landejendom med 9 værelser,8.495.000 kr.,9,280 m²,117.000 m²,56.248476,9.605612
"Dageløkkevej 40,  3050 Humlebæk",https://www.boliga.dk/adresse/dageloekkevej-40-3050-humlebaek-2138812705,Villa med 9 værelser,8.500.000 kr.,9,318 m²,1.658 m²,55.953231,12.526392
"Hyttevej 8,  4581 Rørvig",https://www.boliga.dk/adresse/hyttevej-8-4581-roervig-1118845182,Fritidshus med 5 værelser,10.300.000 kr.,5,146 m²,1.898 m²,55.958159,11.784839
"Brøndkarsevej 9,  2880 Bagsværd",https://www.boliga.dk/adresse/broendkarsevej-9-2880-bagsvaerd-473278793,Villa med 7 værelser,11.995.000 kr.,7,304 m²,7.606 m²,55.755124,12.430156
"Søbækvej 11, A.,  3060 Espergærde",https://www.boliga.dk/adresse/soebaekvej-11-a-3060-espergaerde-3266408,Villa med 4 værelser,12.495.000 kr.,4,210 m²,1.787 m²,,
"Ole Kjærgårdsvej 19,  4581 Rørvig",https://www.boliga.dk/adresse/ole-kjaergaardsvej-19-4581-roervig-974408882,Fritidshus med 7 værelser,15.000.000 kr.,7,151 m²,1.970 m²,55.958267,11.789396
"Stavnsholt Gydevej 97,  3460 Birkerød",https://www.boliga.dk/adresse/stavnsholt-gydevej-97-3460-birkeroed-1939929447,Landejendom med 8 værelser,18.000.000 kr.,8,277 m²,75.155 m²,55.830646,12.381668
"Henriksholms Alle 26,  2950 Vedbæk",https://www.boliga.dk/adresse/henriksholms-alle-26-2950-vedbaek-1188903911,Villa med 7 værelser,18.495.000 kr.,7,226 m²,1.886 m²,55.857471,12.558854
"P.S. Krøyers Vej 1, Marselis,  8270 Højbjerg",https://www.boliga.dk/adresse/ps-kroeyers-vej-1-8270-hoejbjerg-589496263,Villa med 12 værelser,27.800.000 kr.,12,444 m²,2.789 m²,,
"Tastumvej 47,  7850 Stoholm Jyll",https://www.boliga.dk/adresse/tastumvej-47-7850-stoholm-jyll-1712861357,Villa med 5 værelser,375.000 kr.,5,143 m²,1.546 m²,56.502939,9.058041
"Todbølvej 36,  7700 Thisted",https://www.boliga.dk/adresse/todboelvej-36-7700-thisted-264897897,Landejendom med 4 værelser,395.000 kr.,4,119 m²,15.373 m²,56.929898,8.561887
"Lyngvej 17, Sæbygård Feriecenter,  7870 Roslev",https://www.boliga.dk/adresse/lyngvej-17-7870-roslev-1529489265,Fritidshus med 4 værelser,495.000 kr.,4,90 m²,4.283 m²,56.796336,8.960612
"Næstrupvej 57, Sjørring,  7700 Thisted",https://www.boliga.dk/adresse/naestrupvej-57-7700-thisted-1401527142,Villa med 5 værelser,695.000 kr.,5,142 m²,2.535 m²,56.929409,8.621304
"Solsortevej 35, Mou,  9280 Storvorde",https://www.boliga.dk/adresse/solsortevej-35-9280-storvorde-1126894778?e=2217237,Fritidshus med 3 værelser,695.000 kr.,3,63 m²,2.500 m²,,
"Grøftekanten 43,  4583 Sjællands Odde",https://www.boliga.dk/adresse/groeftekanten-43-4583-sjaellands-odde-813659491,Fritidshus med 2 værelser,795.000 kr.,2,30 m²,1.649 m²,55.977509,11.299933
"Liselundvej 28, Stubberup,  4791 Borre",https://www.boliga.dk/adresse/liselundvej-28-4791-borre-890200807,Villa med 5 værelser,795.000 kr.,5,184 m²,6.860 m²,54.994799,12.476177
"Kappendrupvej 8, Kappendrup,  5550 Langeskov",https://www.boliga.dk/adresse/kappendrupvej-8-5550-langeskov-396027217,Villa med 6 værelser,895.000 kr.,6,126 m²,1.990 m²,55.332142,10.574805
"Blåvandvej 28H, st.,  6857 Blåvand",https://www.boliga.dk/adresse/blaavandvej-28h-st-6857-blaavand-572615361,Fritidshus med 2 værelser,898.000 kr.,2,38 m²,5.911 m²,,
"Elisesvej 37, Trend,  9670 Løgstør",https://www.boliga.dk/adresse/elisesvej-37-9670-loegstoer-1057888435,Fritidshus med 6 værelser,925.000 kr.,6,80 m²,1.594 m²,56.849753,9.215384
"Ålbækparken 38, Ålbæk,  7860 Spøttrup",https://www.boliga.dk/adresse/aalbaekparken-38-7860-spoettrup-1521698167,Fritidshus med 4 værelser,995.000 kr.,4,73 m²,2.501 m²,56.620917,8.736578
"Blåbjergvej 69A og 69B, Houstrup,  6830 Nørre Nebel",https://www.boliga.dk/adresse/blaabjergvej-69a-6830-noerre-nebel-54260,Villa med 10 værelser,1.095.000 kr.,10,226 m²,3.760 m²,,
"Jægersmindevej 28, Fjelsted,  5463 Harndrup",https://www.boliga.dk/adresse/jaegersmindevej-28-5463-harndrup-1942802,Villa med 3 værelser,1.095.000 kr.,3,88 m²,1.611 m²,55.442009,10.019894
"Frenderupgade 43, Sdr. Frenderup,  4780 Stege",https://www.boliga.dk/adresse/frenderupgade-43-4780-stege-105781745,Landejendom med 4 værelser,1.150.000 kr.,4,108 m²,15.000 m²,54.936224,12.242409
"Gl. Hovedvej 19A,  8410 Rønde",https://www.boliga.dk/adresse/gl-hovedvej-19a-8410-roende-88621238,Villa med 12 værelser,1.195.000 kr.,12,330 m²,2.777 m²,56.289132,10.54112
"Helsingevej 10,  4281 Gørlev",https://www.boliga.dk/adresse/helsingevej-10-4281-goerlev-172896912,Villa med 3 værelser,1.275.000 kr.,3,151 m²,2.265 m²,55.534066,11.219251
"Løgstørvej 40C,  8800 Viborg",https://www.boliga.dk/adresse/loegstoervej-40c-8800-viborg-3221954,Landejendom med 1 værelse,1.375.000 kr.,1,0 m²,82.530 m²,56.4793926,9.3955405
"Bakkevej 28, Kulhuse,  3630 Jægerspris",https://www.boliga.dk/adresse/bakkevej-28-3630-jaegerspris-1693596211,Fritidshus med 3 værelser,1.375.000 kr.,3,70 m²,2.364 m²,55.920438,11.911402
"Kabelvej 3,  9310 Vodskov",https://www.boliga.dk/adresse/kabelvej-3-9310-vodskov-406010246,Villa med 5 værelser,1.395.000 kr.,5,153 m²,16.286 m²,57.059953,10.098208
"Blåfuglevej 13,  3300 Frederiksværk",https://www.boliga.dk/adresse/blaafuglevej-13-3300-frederiksvaerk-1255249781,Fritidshus med 3 værelser,1.445.000 kr.,3,61 m²,1.899 m²,55.94025,12.041921
"Østerbro 58,  8970 Havndal",https://www.boliga.dk/adresse/oesterbro-58-8970-havndal-38490493,Landejendom med 5 værelser,1.495.000 kr.,5,115 m²,24.406 m²,56.652774,10.202693
"Ribe Landevej 151B,  6100 Haderslev",https://www.boliga.dk/adresse/ribe-landevej-151b-6100-haderslev-1861139464,Villa med 5 værelser,1.545.000 kr.,5,132 m²,3.001 m²,55.244773,9.439996
"Løkkensvej 900,  9480 Løkken",https://www.boliga.dk/adresse/loekkensvej-900-9480-loekken-1566467556,Villa med 3 værelser,1.645.000 kr.,3,92 m²,4.749 m²,57.382307,9.751523
"Havbruset 2, Skal Klit,  9800 Hjørring",https://www.boliga.dk/adresse/havbruset-2-9800-hjoerring-1754996584,Fritidshus med 3 værelser,1.695.000 kr.,3,76 m²,1.675 m²,,
"Toftevej 26, Lyngby,  9480 Løkken",https://www.boliga.dk/adresse/toftevej-26-9480-loekken-1408704833,Fritidshus med 4 værelser,1.695.000 kr.,4,91 m²,2.503 m²,57.406127,9.753007
"Vedtoftevej 50, Turup,  5610 Assens",https://www.boliga.dk/adresse/vedtoftevej-50-5610-assens-1508295107,Villa med 4 værelser,1.695.000 kr.,4,191 m²,2.020 m²,55.304729,10.020809
"Klintevej 165, Pollerup,  4780 Stege",https://www.boliga.dk/adresse/klintevej-165-4780-stege-249252952,Villa med 9 værelser,1.795.000 kr.,9,270 m²,6.615 m²,54.992757,12.381936
"Grønnevej 36,  3300 Frederiksværk",https://www.boliga.dk/adresse/groennevej-36-3300-frederiksvaerk-3241058,Fritidshus med 2 værelser,1.850.000 kr.,2,54 m²,2.317 m²,56.013379,12.036685
"Skolevej 13,  7130 Juelsminde",https://www.boliga.dk/adresse/skolevej-13-7130-juelsminde-808617034,Landejendom med 5 værelser,1.885.000 kr.,5,190 m²,5.300 m²,55.805133,9.950559
"Rødspættevej 5, Skal Klit,  9800 Hjørring",https://www.boliga.dk/adresse/roedspaettevej-5-9800-hjoerring-95363524,Fritidshus med 4 værelser,1.895.000 kr.,4,62 m²,2.689 m²,,
"Truehøjvej 5, True,  9500 Hobro",https://www.boliga.dk/adresse/truehoejvej-5-9500-hobro-1424065064?e=2217302,Landejendom med 5 værelser,1.950.000 kr.,5,182 m²,22.000 m²,,
"Vesterheden 3,  9760 Vrå",https://www.boliga.dk/adresse/vesterheden-3-9760-vraa-1859511335,Landejendom med 5 værelser,1.995.000 kr.,5,138 m²,43.135 m²,57.355017,9.916944
"Hønselundsvejen 2, Bodilsker,  3730 Nexø",https://www.boliga.dk/adresse/hoenselundsvejen-2-3730-nexoe-1222456444,Villa med 4 værelser,1.995.000 kr.,4,148 m²,15.216 m²,55.06117,15.075601
"Nørresøvej 2, Ubjerg,  6270 Tønder",https://www.boliga.dk/adresse/noerresoevej-2-6270-toender-1538301979,Villa med 6 værelser,2.095.000 kr.,6,233 m²,18.796 m²,54.913444,8.856644
"Kromosevej 15, Kromose,  6792 Rømø",https://www.boliga.dk/adresse/kromosevej-15-6792-roemoe-2047551275,Fritidshus med 5 værelser,2.195.000 kr.,5,91 m²,2.505 m²,55.113154,8.549242
"Hybenvangen 6,  6840 Oksbøl",https://www.boliga.dk/adresse/hybenvangen-6-6840-oksboel-505036795,Fritidshus med 6 værelser,2.295.000 kr.,6,151 m²,1.831 m²,55.667638,8.31893
"Solbærvænget 2, Hald Strand,  3390 Hundested",https://www.boliga.dk/adresse/solbaervaenget-2-3390-hundested-270367774,Fritidshus med 4 værelser,2.295.000 kr.,4,76 m²,2.357 m²,,
"Bystævnevej 15,  5390 Martofte",https://www.boliga.dk/adresse/bystaevnevej-15-5390-martofte-34845685,Landejendom med 8 værelser,2.495.000 kr.,8,188 m²,13.000 m²,55.546788,10.654974
"Ålehulsvej 7, Tversted,  9881 Bindslev",https://www.boliga.dk/adresse/aalehulsvej-7-9881-bindslev-1506455116,Fritidshus med 5 værelser,2.545.000 kr.,5,92 m²,2.685 m²,,
"Lille Stokkebjergvej 1,  4450 Jyderup",https://www.boliga.dk/adresse/lille-stokkebjergvej-1-4450-jyderup-1658589262,Villa med 4 værelser,2.695.000 kr.,4,171 m²,6.960 m²,55.680524,11.397808
"Nyvej 210,  3300 Frederiksværk",https://www.boliga.dk/adresse/nyvej-210-3300-frederiksvaerk-840298288,Fritidshus med 5 værelser,2.695.000 kr.,5,134 m²,2.259 m²,56.013782,12.041373
"Egernstien 15, Ahl Strand,  8400 Ebeltoft",https://www.boliga.dk/adresse/egernstien-15-8400-ebeltoft-511942865,Fritidshus med 5 værelser,2.750.000 kr.,5,108 m²,1.513 m²,56.174543,10.646832
"Kystvej 73,  9280 Storvorde",https://www.boliga.dk/adresse/kystvej-73-9280-storvorde-69660405,Villa med 5 værelser,2.795.000 kr.,5,148 m²,11.080 m²,56.937958,10.263177
"Smalle Vorkvej 22, Vork,  6040 Egtved",https://www.boliga.dk/adresse/smalle-vorkvej-22-6040-egtved-1556043645,Villa med 5 værelser,2.795.000 kr.,5,211 m²,14.794 m²,55.645032,9.345406
"Rendebjergvej 8, Sletterød,  5463 Harndrup",https://www.boliga.dk/adresse/rendebjergvej-8-5463-harndrup-33690879,Landejendom med 5 værelser,2.795.000 kr.,5,135 m²,73.951 m²,,
"Skælskørvej 43,  4180 Sorø",https://www.boliga.dk/adresse/skaelskoervej-43-4180-soroe-977242968,Landejendom med 7 værelser,2.845.000 kr.,7,186 m²,19.542 m²,55.372488,11.533249
"Bavnehøjvej 19,  8881 Thorsø",https://www.boliga.dk/adresse/bavnehoejvej-19-8881-thorsoe-2095556133,Landejendom med 2 værelser,2.995.000 kr.,2,75 m²,141.528 m²,56.321034,9.814253
"Seminarievej 115,  6760 Ribe",https://www.boliga.dk/adresse/seminarievej-115-6760-ribe-1472738229,Villa med 7 værelser,2.995.000 kr.,7,190 m²,2.951 m²,55.327894,8.794532
"Rubæk 4, Skovbyballe,  6470 Sydals",https://www.boliga.dk/adresse/rubaek-4-6470-sydals-624181528,Villa med 9 værelser,2.995.000 kr.,9,345 m²,6.129 m²,54.876309,9.995589
"Vejby Sønderhede 46,  9760 Vrå",https://www.boliga.dk/adresse/vejby-soenderhede-46-9760-vraa-1975841743,Landejendom med 5 værelser,3.145.000 kr.,5,204 m²,71.024 m²,57.363178,9.872736
"Bøgevej 5, Diernæs,  5600 Faaborg",https://www.boliga.dk/adresse/boegevej-5-5600-faaborg-1664181102,Villa med 7 værelser,3.195.000 kr.,7,147 m²,2.776 m²,55.1084142,10.2963031
"Gesten Kærvej 11,  6621 Gesten",https://www.boliga.dk/adresse/gesten-kaervej-11-6621-gesten-714877243,Villa med 5 værelser,3.195.000 kr.,5,189 m²,12.005 m²,55.554922,9.20371
"Linnebjergvej 10,  7451 Sunds",https://www.boliga.dk/adresse/linnebjergvej-10-7451-sunds-162321186,Landejendom med 7 værelser,3.295.000 kr.,7,231 m²,16.005 m²,56.208191,9.083445
"Kettrup Bjerge Vej 44,  9480 Løkken",https://www.boliga.dk/adresse/kettrup-bjerge-vej-44-9480-loekken-900113446,Fritidshus med 3 værelser,3.295.000 kr.,3,82 m²,2.335 m²,57.31141,9.659418
"Bakken 25,  8500 Grenaa",https://www.boliga.dk/adresse/bakken-25-8500-grenaa-1328666566,Villa med 6 værelser,3.500.000 kr.,6,194 m²,6.575 m²,56.35003,10.865141
"Bordinglundvej 1, Funderholme,  8600 Silkeborg",https://www.boliga.dk/adresse/bordinglundvej-1-8600-silkeborg-294962512,Fritidshus med 5 værelser,3.500.000 kr.,5,130 m²,55.412 m²,,
"Mogens Heeringsvej 49 og 51, Vig Lyng,  4560 Vig",https://www.boliga.dk/adresse/mogens-heeringsvej-49-4560-vig-1686035035,Fritidshus med 3 værelser,3.750.000 kr.,3,57 m²,2.425 m²,,
"Mombak 12,  7700 Thisted",https://www.boliga.dk/adresse/mombak-12-7700-thisted-638546053,Fritidshus med 7 værelser,3.795.000 kr.,7,154 m²,2.516 m²,57.035964,8.47849
"Vesterskovvej 67,  4800 Nykøbing F",https://www.boliga.dk/adresse/vesterskovvej-67-4800-nykoebing-f-85513256,Villa med 9 værelser,3.995.000 kr.,9,270 m²,1.799 m²,54.766228,11.886252
"Hollerupvej 20, Hollerup,  8870 Langå",https://www.boliga.dk/adresse/hollerupvej-20-8870-langaa-1859250497,Landejendom med 5 værelser,4.000.000 kr.,5,160 m²,52.500 m²,56.407353,9.840051
"Skovbakkevej 120,  8800 Viborg",https://www.boliga.dk/adresse/skovbakkevej-120-8800-viborg-1637975674,Villa med 7 værelser,4.295.000 kr.,7,246 m²,1.711 m²,56.471524,9.437634
"Juulsvej 45,  4720 Præstø",https://www.boliga.dk/adresse/juulsvej-45-4720-praestoe-207225601,Villa med 7 værelser,4.495.000 kr.,7,166 m²,1.606 m²,55.125197,12.063213
"Venøvej 33, Ørslevkl Sø,  7840 Højslev",https://www.boliga.dk/adresse/venoevej-33-7840-hoejslev-1580047460,Fritidshus med 5 værelser,5.500.000 kr.,5,167 m²,6.188 m²,,
"Hagenæsdal 9,  4040 Jyllinge",https://www.boliga.dk/adresse/hagenaesdal-9-4040-jyllinge-332310096,Villa med 5 værelser,5.795.000 kr.,5,200 m²,1.940 m²,55.764833,12.090528
"Hans Schacksvej 419,  5300 Kerteminde",https://www.boliga.dk/adresse/hans-schacksvej-419-5300-kerteminde-1108376652,Villa med 4 værelser,5.995.000 kr.,4,163 m²,4.482 m²,55.460675,10.599256
"Smedegade 20, Snoldelev,  4621 Gadstrup",https://www.boliga.dk/adresse/smedegade-20-4621-gadstrup-1821521189,Landejendom med 5 værelser,7.995.000 kr.,5,155 m²,147.300 m²,55.568887,12.130033
"Henrik Thomsens Vej 2,  3460 Birkerød",https://www.boliga.dk/adresse/henrik-thomsens-vej-2-3460-birkeroed-912318544,Villa med 6 værelser,9.695.000 kr.,6,165 m²,1.779 m²,55.842006,12.420269
"Sandlyngen 17,  3300 Frederiksværk",https://www.boliga.dk/adresse/sandlyngen-17-3300-frederiksvaerk-572545120?e=2217051,Fritidshus med 7 værelser,13.400.000 kr.,7,242 m²,20.378 m²,56.016876,12.05783
"Rodelundvej 30,  8680 Ry",https://www.boliga.dk/adresse/rodelundvej-30-8680-ry-1814779623,Landejendom med 4 værelser,19.500.000 kr.,4,162 m²,543.232 m²,56.090549,9.681782
"Kirkeltevej 135,  3450 Allerød",https://www.boliga.dk/adresse/kirkeltevej-135-3450-alleroed-846979033,Landejendom med 9 værelser,27.500.000 kr.,9,414 m²,136.591 m²,55.905385,12.390652
"Stumpedyssevej 6A,  2970 Hørsholm",https://www.boliga.dk/adresse/stumpedyssevej-6a-2970-hoersholm-1303586134,Landejendom med 11 værelser,37.500.000 kr.,11,297 m²,79.998 m²,55.886868,12.435318
"Hasle Hytteby 4,  3790 Hasle",https://www.boliga.dk/adresse/hasle-hytteby-4-3790-hasle-123136845,Fritidshus med 1 værelse,233.000 kr.,1,12 m²,8.878 m²,55.176126,14.714021
"Fuglebækvej 34, Sønder Homå,  8570 Trustrup",https://www.boliga.dk/adresse/fuglebaekvej-34-8570-trustrup-1527826277,Villa med 3 værelser,450.000 kr.,3,134 m²,2.150 m²,56.337528,10.811965
"Skippergade 27,  9340 Asaa",https://www.boliga.dk/adresse/skippergade-27-9340-asaa-938388441,Villa med 4 værelser,685.000 kr.,4,130 m²,1.998 m²,57.148083,10.39778
"Næbbevej 9, Vejleby,  4534 Hørve",https://www.boliga.dk/adresse/naebbevej-9-4534-hoerve-2052995455,Helårsgrund,695.000 kr.,8.824 m²,Ejerudgift: 903 kr. / md.,,55.741027,11.47262
