Adresse,Link,Type,Pris,Værelser,Boligstørrelse,Grundstørrelse,latitude,longitude
"Bækkelundvej 1, Linde,  7600 Struer",https://www.boliga.dk/adresse/baekkelundvej-1-7600-struer-1418636725,Landejendom med 5 værelser,1.575.000 kr.,5,162 m²,42.173 m²,,
"Lille Jernkaasvej 2, 1. 40,  3760 Gudhjem",https://www.boliga.dk/adresse/lille-jernkaasvej-2-1-40-3760-gudhjem-259683438,Fritidshus med 3 værelser,1.595.000 kr.,3,67 m²,14.569 m²,,
"Gyden 5,  5900 Rudkøbing",https://www.boliga.dk/adresse/gyden-5-5900-rudkoebing-2040254887,Villa med 8 værelser,1.595.000 kr.,8,261 m²,3.710 m²,54.903305,10.782172
"Præstegårdsvej 13, V Hornum,  9640 Farsø",https://www.boliga.dk/adresse/praestegaardsvej-13-9640-farsoe-1245527783,Villa med 4 værelser,1.695.000 kr.,4,187 m²,1.764 m²,,
"Bendiksensvej 3, Tømmerby,  6740 Bramming",https://www.boliga.dk/adresse/bendiksensvej-3-6740-bramming-227116704,Landejendom med 7 værelser,1.698.000 kr.,7,208 m²,56.766 m²,,
"Vejrupvej 10,  5464 Brenderup Fyn",https://www.boliga.dk/adresse/vejrupvej-10-5464-brenderup-fyn-423591862,Villa med 5 værelser,1.745.000 kr.,5,157 m²,2.565 m²,55.489102,9.9652
"Stenhavevej 3, Refsvindinge,  5853 Ørbæk",https://www.boliga.dk/adresse/stenhavevej-3-5853-oerbaek-607998526,Villa med 6 værelser,1.850.000 kr.,6,230 m²,3.560 m²,55.294612,10.672993
"Klintevej 21, Nyvang,  4780 Stege",https://www.boliga.dk/adresse/klintevej-21-4780-stege-2003010296,Villa med 4 værelser,1.895.000 kr.,4,168 m²,18.386 m²,,
"Tårup Skovvej 17, Tårup,  4850 Stubbekøbing",https://www.boliga.dk/adresse/taarup-skovvej-17-4850-stubbekoebing-641363645,Villa med 8 værelser,1.925.000 kr.,8,312 m²,12.300 m²,54.885675,11.950043
"Lindevej 7,  9370 Hals",https://www.boliga.dk/adresse/lindevej-7-9370-hals-1546453590,Villa med 6 værelser,1.980.000 kr.,6,250 m²,1.957 m²,56.996302,10.311373
"Nibevej 381, Frejlev,  9200 Aalborg SV",https://www.boliga.dk/adresse/nibevej-381-9200-aalborg-sv-1158536655,Villa med 4 værelser,1.995.000 kr.,4,152 m²,1.877 m²,57.004245,9.795749
"Enebærvej 7, Hostrup,  7860 Spøttrup",https://www.boliga.dk/adresse/enebaervej-7-7860-spoettrup-187281063,Fritidshus med 4 værelser,1.995.000 kr.,4,91 m²,2.501 m²,56.570193,8.747982
"Fuglesangsvej 10, Rutsker,  3790 Hasle",https://www.boliga.dk/adresse/fuglesangsvej-10-3790-hasle-1279114451,Landejendom med 6 værelser,1.995.000 kr.,6,220 m²,25.000 m²,55.215681,14.736114
"Sandvejen 50, Kikhavn,  3390 Hundested",https://www.boliga.dk/adresse/sandvejen-50-3390-hundested-1044843246,Fritidshus med 3 værelser,2.195.000 kr.,3,58 m²,1.607 m²,55.97304,11.865952
"Fjorddalen 74,  6000 Kolding",https://www.boliga.dk/adresse/fjorddalen-74-6000-kolding-1132443410,Fritidshus med 3 værelser,2.195.000 kr.,3,48 m²,84.085 m²,55.498789,9.565699
"Bøjdenvej 55, Vindinge,  5800 Nyborg",https://www.boliga.dk/adresse/boejdenvej-55-5800-nyborg-1816152094,Villa med 6 værelser,2.195.000 kr.,6,162 m²,2.467 m²,55.31117,10.737352
"Katsigvej 25,  9900 Frederikshavn",https://www.boliga.dk/adresse/katsigvej-25-9900-frederikshavn-1361339954,Landejendom med 4 værelser,2.195.000 kr.,4,192 m²,109.189 m²,57.439569,10.331555
"Hedegårdsvej 5, Visby,  6261 Bredebro",https://www.boliga.dk/adresse/hedegaardsvej-5-6261-bredebro-2132520069,Villa med 7 værelser,2.295.000 kr.,7,223 m²,15.000 m²,55.002307,8.781083
