Målgruppe,Kommune,Alder,2018,2019,2020,2021,2022,,
Børn og unge med autisme,Vejle,6-11 år,87,89,84,82,84,,
Børn og unge med autisme,Vejle,12-17 år,206,215,217,234,257,,
Børn og unge med autisme,Vesthimmerlands,Alder i alt,84,105,102,109,123,,
Børn og unge med autisme,Vesthimmerlands,0-5 år,4,6,6,6,3,,
Børn og unge med autisme,Vesthimmerlands,6-11 år,25,32,27,34,40,,
Børn og unge med autisme,Vesthimmerlands,12-17 år,55,67,69,69,80,,
Børn og unge med autisme,Vejle,Alder i alt,301,312,312,328,351,,
Børn og unge med autisme,Viborg,0-5 år,14,16,22,29,22,,
Børn og unge med autisme,Viborg,6-11 år,70,77,79,83,81,,
Børn og unge med autisme,Viborg,12-17 år,174,180,193,225,241,,
Børn og unge med autisme,Vordingborg,Alder i alt,136,136,131,142,149,,
Børn og unge med autisme,Vordingborg,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Vordingborg,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Vordingborg,12-17 år,92,95,102,114,119,,
Børn og unge med autisme,Viborg,Alder i alt,258,273,294,337,344,,
