Adresse,City,Link,Type,Størrelse,Pris,Pris_m2,latitude,longitude,kommune
Oldenvej 19C,3490 Kvistgård,https://www.ejendomstorvet.dk/koeb/nordsjaelland/helsingoer/lager-produktion/d833cd67-2a8d-4be7-a579-c355dcc26c22,"Lager & produktion, salg",451 m²,4.750.000 kr.,10.532 kr./m²,55.994182,12.497332,Helsingør Kommune
Borup Alle 1,8920 Randers NV,https://www.ejendomstorvet.dk/koeb/oestjylland/randers/andre-typer/fd56e33e-ad3e-4589-bde9-bfa4387244bc,"Andre typer, salg",695 m²,5.000.000 kr.,7.194 kr./m²,56.480677,10.00019,Randers Kommune
Havnevej 3,6320 Egernsund,https://www.ejendomstorvet.dk/koeb/sydjylland/soenderborg/andre-typer/707f35e0-ca07-4f29-b345-a58d2f0cd0bb,"Andre typer, salg",869 m²,6.000.000 kr.,6.904 kr./m²,55.645696,12.076333,Roskilde Kommune
Jyllingecentret 23,4040 Jyllinge,https://www.ejendomstorvet.dk/koeb/oestsjaelland/roskilde/detailhandel-butik/0294e5f2-21be-4e3b-8c49-1ab604746f37,"Detailhandel & butik, salg",464 m²,2.650.000 kr.,5.711 kr./m²,55.750259,12.108208,Roskilde Kommune
Kirkevej 15,5464 Brenderup Fyn,https://www.ejendomstorvet.dk/koeb/fyn/middelfart/detailhandel-butik/fad8531f-acbb-490b-9286-d46da71b386f,"Detailhandel & butik, salg",8.794 m²,14.500.000 kr.,1.648 kr./m²,55.315332,10.317084,Odense Kommune
Kærbyvej 65,8983 Gjerlev J,https://www.ejendomstorvet.dk/koeb/oestjylland/randers/andre-typer/36b41bec-f4fa-4368-b474-09f1b710c9e6,"Andre typer, salg",705 m²,2.000.000 kr.,2.836 kr./m²,55.697628,12.45617,Rødovre Kommune
Østergade 2,6823 Ansager,https://www.ejendomstorvet.dk/koeb/sydjylland/varde/detailhandel-butik/f297d0a8-99e9-4d0f-861e-db94b5c2b914,"Detailhandel & butik, salg",457 m²,800.000 kr.,1.750 kr./m²,56.154497,10.204363,Aarhus Kommune
Åsebro 28,3300 Frederiksværk,https://www.ejendomstorvet.dk/koeb/nordsjaelland/halsnaes/andre-typer/d87bfd44-ae07-45eb-9485-06c2194a9f05,"Andre typer, salg",1.281 m²,10.000.000 kr.,7.806 kr./m²,55.979682,12.014448,Halsnæs Kommune
Apotekergade 2,4840 Nørre Alslev,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/guldborgsund/detailhandel-butik/5bf33cde-843b-4832-880d-d6895d2998f7,"Detailhandel & butik, salg",652 m²,3.250.000 kr.,4.984 kr./m²,54.899159,11.877809,Guldborgsund Kommune
Støberivej 7,3660 Stenløse,https://www.ejendomstorvet.dk/koeb/nordsjaelland/egedal/lager-produktion/2ec2f9b3-b474-42ba-b97c-b279a0803c97,"Lager & produktion, salg",458 m²,3.950.000 kr.,8.624 kr./m²,56.021202,12.561075,Helsingør Kommune
"Brunde Øst 2, 6 & 8",6230 Rødekro,https://www.ejendomstorvet.dk/koeb/sydjylland/aabenraa/detailhandel-butik/5ee0edfd-c79b-4862-96c7-dbeebc2a9480,"Detailhandel & butik, salg",783 m²,6.500.000 kr.,8.301 kr./m²,,,
Peder Skramsvej 4,9850 Hirtshals,https://www.ejendomstorvet.dk/koeb/nordjylland/hjoerring/lager-produktion/8bc2e584-cf7f-4165-b931-b55f87546014,"Lager & produktion, salg",3.880 m²,7.500.000 kr.,1.932 kr./m²,57.590556,9.979423,Hjørring Kommune
Marsalle 23,8700 Horsens,https://www.ejendomstorvet.dk/koeb/oestjylland/horsens/lager-produktion/eca6811b-686a-41e2-8c3a-47d22e4602ce,"Lager & produktion, salg",1.800 m²,11.000.000 kr.,6.111 kr./m²,55.836027,9.799814,Horsens Kommune
Kulsviervej 23,3400 Hillerød,https://www.ejendomstorvet.dk/koeb/nordsjaelland/hilleroed/lager-produktion/c63db7de-de0c-42db-b801-7abc39a186d5,"Lager & produktion, salg",479 m²,5.750.000 kr.,12.004 kr./m²,55.938687,12.35817,Hillerød Kommune
Orehoved Langgade 49,4840 Nørre Alslev,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/guldborgsund/andre-typer/cf78a874-87be-4ac4-b0f4-1a9b4eb6aff0,"Andre typer, salg",396 m²,1.195.000 kr.,3.017 kr./m²,54.946752,11.861304,Guldborgsund Kommune
Skanderborgvej 186,8382 Hinnerup,https://www.ejendomstorvet.dk/koeb/oestjylland/favrskov/grunde/447c0497-329a-462e-a0f8-806347c87f9f,"Grunde, salg",10.204 m²,6.000.000 kr.,17.492 kr./m²,56.251354,10.03092,Favrskov Kommune
Skansevej 1,8000 Aarhus C,https://www.ejendomstorvet.dk/koeb/oestjylland/aarhus/lager-produktion/b9c63aec-ba26-4a0f-b1b1-669ed1bb79b8,"Lager & produktion, salg",11.166 m²,60.000.000 kr.,5.373 kr./m²,55.60614,12.666262,Dragør Kommune
Betonvej 9,4000 Roskilde,https://www.ejendomstorvet.dk/koeb/oestsjaelland/roskilde/lager-produktion/1165a260-73a2-4cee-8a16-a3ecb85604ba,"Lager & produktion, salg",996 m²,14.000.000 kr.,14.056 kr./m²,55.645308,12.124335,Roskilde Kommune
Maigårdsvej 4,9900 Frederikshavn,https://www.ejendomstorvet.dk/koeb/nordjylland/frederikshavn/lager-produktion/0e67d3e1-9abc-4e69-aa24-9bb95ef7a4a2,"Lager & produktion, salg",1.007 m²,5.000.000 kr.,4.965 kr./m²,57.447042,10.50238,Frederikshavn Kommune
Hjørringvej 525A,9800 Hjørring,https://www.ejendomstorvet.dk/koeb/nordjylland/hjoerring/andre-typer/7701c9f6-2421-4ef2-a8bd-e958d2bfdffa,"Andre typer, salg",391 m²,1.800.000 kr.,4.603 kr./m²,57.455014,10.115071,Hjørring Kommune
Egholmvej 3A,9800 Hjørring,https://www.ejendomstorvet.dk/koeb/nordjylland/hjoerring/lager-produktion/7dbf72a9-b008-4e3e-9e27-5e308e784587,"Lager & produktion, salg",492 m²,2.400.000 kr.,4.878 kr./m²,57.453038,10.024064,Hjørring Kommune
Niels Juelsvej 10,9850 Hirtshals,https://www.ejendomstorvet.dk/koeb/nordjylland/hjoerring/lager-produktion/67ffa398-b79f-4430-8b7e-75e738bcf084,"Lager & produktion, salg",1.225 m²,2.500.000 kr.,2.040 kr./m²,57.589395,9.978141,Hjørring Kommune
Hermesvej 6,6330 Padborg,https://www.ejendomstorvet.dk/koeb/sydjylland/aabenraa/lager-produktion/5e3d8986-425c-4fcc-bada-fbb60472321f,"Lager & produktion, salg",5.150 m²,15.500.000 kr.,3.009 kr./m²,55.721061,9.510074,Vejle Kommune
Hermesvej 2A,6330 Padborg,https://www.ejendomstorvet.dk/koeb/sydjylland/aabenraa/lager-produktion/708a2b68-eaf4-44d2-9b6f-8ba4f2ac87a1,"Lager & produktion, salg",4.034 m²,11.500.000 kr.,2.850 kr./m²,54.831967,9.340136,Aabenraa Kommune
Hedelundvej 13,6705 Esbjerg Ø,https://www.ejendomstorvet.dk/koeb/sydjylland/esbjerg/lager-produktion/17e9f268-b1cd-4d34-9c69-ba693ec9d72d,"Lager & produktion, salg",25.367 m²,145.000.000 kr.,5.716 kr./m²,55.439583,10.400221,Odense Kommune
Møgelmosevej 54,6630 Rødding,https://www.ejendomstorvet.dk/koeb/sydjylland/vejen/lager-produktion/c767c988-0e0b-4921-b84e-c10ee02f3bb8,"Lager & produktion, salg",567 m²,1.500.000 kr.,2.645 kr./m²,55.37264,9.047865,Vejen Kommune
Tolderlundsvej 115,5000 Odense C,https://www.ejendomstorvet.dk/koeb/fyn/odense/lager-produktion/b968a3c5-3a68-4abc-a889-fcfe4d8f9d46,"Lager & produktion, salg",10.510 m²,8.500.000 kr.,808 kr./m²,55.417004,10.383226,Odense Kommune
Bjødstrupvej 20D,8270 Højbjerg,https://www.ejendomstorvet.dk/koeb/oestjylland/aarhus/grunde/ccf3f034-7fa8-4008-b341-66934d8ec890,"Grunde, salg",1.516 m²,4.375.000 kr.,0 kr./m²,56.107793,10.166202,Aarhus Kommune
Karen Blixens Vej 4,7100 Vejle,https://www.ejendomstorvet.dk/koeb/sydjylland/vejle/lager-produktion/61326729-774a-4ed1-af49-6c8e25e33384,"Lager & produktion, salg",2.053 m²,11.500.000 kr.,5.601 kr./m²,57.013752,9.890706,Aalborg Kommune
Kystvejen 4,6100 Haderslev,https://www.ejendomstorvet.dk/koeb/sydjylland/haderslev/lager-produktion/42b83c93-958b-460f-b329-de1f46e607c3,"Lager & produktion, salg",5.988 m²,4.950.000 kr.,826 kr./m²,55.434791,8.363565,Fanø Kommune
Nydamsvej 12B,8362 Hørning,https://www.ejendomstorvet.dk/koeb/oestjylland/skanderborg/lager-produktion/b877878d-e04b-4003-9489-573778fda12b,"Lager & produktion, salg",754 m²,4.500.000 kr.,5.968 kr./m²,56.085234,10.042079,Skanderborg Kommune
Sct. Laurentii Vej 82A,9990 Skagen,https://www.ejendomstorvet.dk/koeb/nordjylland/frederikshavn/andre-typer/45b9fac4-9c3c-4267-927a-cde41470a54b,"Andre typer, salg",952 m²,9.500.000 kr.,9.978 kr./m²,57.719976,10.583963,Frederikshavn Kommune
Øresundsvej 11,6715 Esbjerg N,https://www.ejendomstorvet.dk/koeb/sydjylland/esbjerg/lager-produktion/142452d6-9cb0-4a94-b0b2-2479152b3504,"Lager & produktion, salg",1.337 m²,3.950.000 kr.,2.954 kr./m²,55.658622,12.608974,Københavns Kommune
Hollændervej 28,1855 Frederiksberg C,https://www.ejendomstorvet.dk/koeb/byen-koebenhavn/frederiksberg/lager-produktion/b5877d91-7d8d-4303-90ce-b39258d96d00,"Lager & produktion, salg",423 m²,995.000 kr.,2.352 kr./m²,55.597086,12.665672,Dragør Kommune
Hjørringvej 430A,9750 Østervrå,https://www.ejendomstorvet.dk/koeb/nordjylland/frederikshavn/andre-typer/c9258b7e-3b70-4d1a-a299-a2571e7b4904,"Andre typer, salg",232 m²,745.000 kr.,3.211 kr./m²,57.342064,10.237814,Frederikshavn Kommune
Helsingevej 30A,3300 Frederiksværk,https://www.ejendomstorvet.dk/koeb/nordsjaelland/halsnaes/andre-typer/083a9272-c987-40f7-9bb3-59e4560139d2,"Andre typer, salg",222 m²,2.350.000 kr.,10.585 kr./m²,55.985946,12.0324,Halsnæs Kommune
Platinvej 20,6000 Kolding,https://www.ejendomstorvet.dk/koeb/sydjylland/kolding/lager-produktion/c04d363e-4e12-4356-b4d2-5c9c418fa4be,"Lager & produktion, salg",1.040 m²,5.198.000 kr.,4.998 kr./m²,55.50812,9.434373,Kolding Kommune
Haderslevvej 140,6000 Kolding,https://www.ejendomstorvet.dk/koeb/sydjylland/kolding/andre-typer/f9c7a9cf-4142-4039-a22a-584fe0717c83,"Andre typer, salg",262 m²,3.300.000 kr.,12.595 kr./m²,55.473964,9.469731,Kolding Kommune
Havnevej 3,4300 Holbæk,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/holbaek/hotel-restaurant/abb626c9-4b88-439a-8dce-b6482ddf5614,"Hotel & restaurant, salg",243 m²,20.000.000 kr.,82.304 kr./m²,55.645696,12.076333,Roskilde Kommune
Håndværkervangen 6,4550 Asnæs,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/odsherred/grunde/49d4384c-0b3b-4b56-93c6-2e1a70c321fc,"Grunde, salg",6.950 m²,895.000 kr.,0 kr./m²,55.303735,10.467849,Faaborg-Midtfyn Kommune
Fuglegårdsvænget 96,2820 Gentofte,https://www.ejendomstorvet.dk/koeb/koebenhavns-omegn/gentofte/lager-produktion/7a431238-d3d7-448a-bc65-f8f47c46efc7,"Lager & produktion, salg",224 m²,1.360.000 kr.,6.071 kr./m²,55.74134,12.524128,Gentofte Kommune
Amagerbrogade 32,2300 København S,https://www.ejendomstorvet.dk/koeb/byen-koebenhavn/koebenhavn/detailhandel-butik/06970c0a-3f2e-4987-8079-d020a11a7022,"Detailhandel & butik, salg",288 m²,3.995.000 kr.,13.871 kr./m²,55.664466,12.600132,Københavns Kommune
Bødkervej 2,4660 Store Heddinge,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/stevns/lager-produktion/d653e55a-37a5-44b8-85ea-6acd957c6489,"Lager & produktion, salg",612 m²,2.800.000 kr.,4.575 kr./m²,56.191534,9.022897,Herning Kommune
Bredgade 102,7760 Hurup Thy,https://www.ejendomstorvet.dk/koeb/nordjylland/thisted/detailhandel-butik/d50a1461-b828-4303-b3fb-432bf1e4512c,"Detailhandel & butik, salg",839 m²,1.000.000 kr.,1.191 kr./m²,55.383174,10.103728,Assens Kommune
Bilstrupvej 101,7800 Skive,https://www.ejendomstorvet.dk/koeb/vestjylland/skive/grunde/ad183292-258e-4aee-90e8-47f29d77e696,"Grunde, salg",53.556 m²,8.750.000 kr.,163 kr./m²,56.54615,9.012064,Skive Kommune
Skanderborgvej 244,8260 Viby J,https://www.ejendomstorvet.dk/koeb/oestjylland/aarhus/lager-produktion/bc9a4291-ceab-416e-b748-492976749c0e,"Lager & produktion, salg",2.585 m²,19.500.000 kr.,7.543 kr./m²,56.117641,10.133838,Aarhus Kommune
Finlandsvej 5,8700 Horsens,https://www.ejendomstorvet.dk/koeb/oestjylland/horsens/lager-produktion/d176207c-2423-407c-b6b9-d50e652ecd59,"Lager & produktion, salg",1.158 m²,6.200.000 kr.,5.354 kr./m²,55.792328,12.516478,Lyngby-Taarbæk Kommune
Østergade 4,5471 Søndersø,https://www.ejendomstorvet.dk/koeb/fyn/nordfyns/lager-produktion/1c06de6b-cf87-4231-a532-55ba46a78848,"Lager & produktion, salg",120 m²,600.000 kr.,5.000 kr./m²,55.680301,12.584575,Københavns Kommune
Frk. Jensens Gård 3,8900 Randers C,https://www.ejendomstorvet.dk/koeb/oestjylland/randers/andre-typer/462381d0-0b31-485f-a485-a867adfd091e,"Andre typer, salg",1.108 m²,3.200.000 kr.,2.888 kr./m²,56.461215,10.040482,Randers Kommune
Erhvervsparken 57,8882 Fårvang,https://www.ejendomstorvet.dk/koeb/oestjylland/silkeborg/lager-produktion/638474a7-e6c5-4529-8907-0fc1732d90e0,"Lager & produktion, salg",3.119 m²,9.850.000 kr.,3.158 kr./m²,56.270579,9.720057,Silkeborg Kommune
Strandstræde 17A,3550 Slangerup,https://www.ejendomstorvet.dk/koeb/nordsjaelland/frederikssund/grunde/bc5ab007-0204-4284-a2b1-295e281ebf79,"Grunde, salg",58.428 m²,0 kr.,0 kr./m²,55.847643,12.154345,Frederikssund Kommune
"Gl Færgevej 107, st",6300 Gråsten,https://www.ejendomstorvet.dk/koeb/sydjylland/soenderborg/andre-typer/1b9dfad9-7f17-455e-a685-3f2e8a8896d8,"Andre typer, salg",181 m²,1.795.000 kr.,9.917 kr./m²,,,
Mikkelborg Bygade 7,6630 Rødding,https://www.ejendomstorvet.dk/koeb/sydjylland/vejen/hotel-restaurant/a14a3b80-9d7d-4f9f-b7c4-162ffa5d033d,"Hotel & restaurant, salg",1.817 m²,1.495.000 kr.,822 kr./m²,55.387032,9.155215,Vejen Kommune
Transportbuen 3M,4700 Næstved,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/naestved/lager-produktion/c400eefc-1a73-453c-b316-70ee15c93776,"Lager & produktion, salg",956 m²,8.000.000 kr.,8.368 kr./m²,55.252571,11.791043,Næstved Kommune
Enghavevej 71,1674 København V,https://www.ejendomstorvet.dk/koeb/byen-koebenhavn/koebenhavn/hotel-restaurant/782db0ff-710f-46fe-bc7f-d024224d3b15,"Hotel & restaurant, salg",70 m²,2.500.000 kr.,35.714 kr./m²,55.664154,12.542628,Københavns Kommune
Axel Kiers Vej 22,8270 Højbjerg,https://www.ejendomstorvet.dk/koeb/oestjylland/aarhus/grunde/9e77ea30-4a98-4a2d-9577-de484baf2cfe,"Grunde, salg",3.300 m²,4.000.000 kr.,0 kr./m²,56.107257,10.163938,Aarhus Kommune
Risagervej 5A,6690 Gørding,https://www.ejendomstorvet.dk/koeb/sydjylland/esbjerg/andre-typer/d3106ced-3e0b-4081-88ca-94b3b980e993,"Andre typer, salg",407 m²,3.098.000 kr.,7.611 kr./m²,55.477624,8.792493,Esbjerg Kommune
Ringstedvej 48A,4180 Sorø,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/soroe/lager-produktion/49fcd53f-c34f-4387-a1c8-dce7005fa0e2,"Lager & produktion, salg",5.112 m²,8.500.000 kr.,1.662 kr./m²,55.641527,11.514216,Holbæk Kommune
Vestergade 10B-C,7400 Herning,https://www.ejendomstorvet.dk/koeb/vestjylland/herning/detailhandel-butik/0d419161-28fe-47b5-acc0-13ae2b811974,"Detailhandel & butik, salg",969 m²,5.495.000 kr.,5.670 kr./m²,55.6771219,12.5692686,Københavns Kommune
Energivej 12,2750 Ballerup,https://www.ejendomstorvet.dk/koeb/koebenhavns-omegn/ballerup/lager-produktion/0bdf0f06-2cdc-4c0d-85d3-0e02c1cea4a0,"Lager & produktion, salg",1.631 m²,20.000.000 kr.,12.262 kr./m²,56.228664,10.159068,Aarhus Kommune
Vorgodvej 1A,6920 Videbæk,https://www.ejendomstorvet.dk/koeb/vestjylland/ringkoebing-skjern/grunde/f32c677d-18ee-4802-a12b-1ab4285ef6d0,"Grunde, salg",2.464 m²,700.000 kr.,0 kr./m²,56.099679,8.702236,Ringkøbing-Skjern Kommune
Højby Hovedgade 28,4573 Højby,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/odsherred/hotel-restaurant/d3961cf4-b2ad-430b-85df-08dcf9441f24,"Hotel & restaurant, salg",926 m²,2.895.000 kr.,3.126 kr./m²,55.911728,11.604662,Odsherred Kommune
Præstevænget 40,7400 Herning,https://www.ejendomstorvet.dk/koeb/vestjylland/herning/andre-typer/851f6530-f0c3-459b-a166-da57b3bfa6e9,"Andre typer, salg",998 m²,3.950.000 kr.,3.957 kr./m²,55.939975,9.953455,Horsens Kommune
Tilst Søndervej 3,8381 Tilst,https://www.ejendomstorvet.dk/koeb/oestjylland/aarhus/detailhandel-butik/c84d2530-635f-43e0-bc3d-c317b8060d2a,"Detailhandel & butik, salg",11.565 m²,86.500.000 kr.,7.479 kr./m²,56.182209,10.119145,Aarhus Kommune
Nørre Skærbækvej 6,6780 Skærbæk,https://www.ejendomstorvet.dk/koeb/sydjylland/toender/detailhandel-butik/e53588c6-43e3-40ea-ab82-517b6c7dba28,"Detailhandel & butik, salg",649 m²,2.450.000 kr.,3.775 kr./m²,55.159431,8.761279,Tønder Kommune
Okslundvej 1,6330 Padborg,https://www.ejendomstorvet.dk/koeb/sydjylland/aabenraa/andre-typer/77f74a24-30d3-4a7a-aef2-af84a4663790,"Andre typer, salg",624 m²,2.950.000 kr.,4.727 kr./m²,54.832571,9.362393,Aabenraa Kommune
Hestkærvej 4,9800 Hjørring,https://www.ejendomstorvet.dk/koeb/nordjylland/hjoerring/andre-typer/36098132-f0a7-4f86-aacd-09485b2fe1c5,"Andre typer, salg",967 m²,4.950.000 kr.,5.118 kr./m²,57.456904,10.012025,Hjørring Kommune
Lillehøjvej 11,8600 Silkeborg,https://www.ejendomstorvet.dk/koeb/oestjylland/silkeborg/grunde/791222ad-f3e5-4491-924e-9ea2509f0013,"Grunde, salg",11.246 m²,9.500.000 kr.,0 kr./m²,56.188272,9.571146,Silkeborg Kommune
Ved Stranden 19,9000 Aalborg,https://www.ejendomstorvet.dk/koeb/nordjylland/aalborg/detailhandel-butik/19e3ae85-40b3-4e06-9db6-b8852cb6279c,"Detailhandel & butik, salg",58 m²,2.650.000 kr.,45.689 kr./m²,55.677585,12.580486,Københavns Kommune
Danmarksgade 66,9000 Aalborg,https://www.ejendomstorvet.dk/koeb/nordjylland/aalborg/detailhandel-butik/caad1059-f49a-4d6b-a9c2-0963a680ec19,"Detailhandel & butik, salg",110 m²,1.650.000 kr.,15.000 kr./m²,57.045056,9.922972,Aalborg Kommune
Nørretorv 2G,7100 Vejle,https://www.ejendomstorvet.dk/koeb/sydjylland/vejle/detailhandel-butik/199ecb61-63bf-4a05-8b22-2cbd703cce29,"Detailhandel & butik, salg",248 m²,2.800.000 kr.,11.290 kr./m²,55.711086,9.536932,Vejle Kommune
Strevelinsvej 17,7000 Fredericia,https://www.ejendomstorvet.dk/koeb/sydjylland/fredericia/grunde/c34b9740-7cbf-4f32-b0e4-0dd1adcf6aef,"Grunde, salg",7.686 m²,11.500.000 kr.,8.846 kr./m²,55.53424,9.718342,Fredericia Kommune
Rørvangsvej 33A,4300 Holbæk,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/holbaek/grunde/995705d6-fd50-4eb2-b719-51154ded153f,"Grunde, salg",7.035 m²,4.500.000 kr.,0 kr./m²,55.689375,11.705692,Holbæk Kommune
Snaremosevej 8,7000 Fredericia,https://www.ejendomstorvet.dk/koeb/sydjylland/fredericia/grunde/e4602c7f-5a76-4171-b188-7ca4af0f91e3,"Grunde, salg",0 m²,1.550.000 kr.,0 kr./m²,54.893404,10.760036,Langeland Kommune
Vestergade 40B,5700 Svendborg,https://www.ejendomstorvet.dk/koeb/fyn/svendborg/lager-produktion/48d18bad-722e-4509-bbf5-4f3c937edf48,"Lager & produktion, salg",332 m²,1.200.000 kr.,3.614 kr./m²,55.804176,9.695968,Hedensted Kommune
Bjælkerupvej 112,4660 Store Heddinge,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/stevns/grunde/81aa6d97-6307-4dd1-a988-948a0b2cd78a,"Grunde, salg",4.771 m²,1.995.000 kr.,0 kr./m²,55.321765,12.371412,Stevns Kommune
Undalsvej 2,3300 Frederiksværk,https://www.ejendomstorvet.dk/koeb/nordsjaelland/halsnaes/detailhandel-butik/0840fbbe-468b-4af6-bfc8-ceeb4858bc8e,"Detailhandel & butik, salg",960 m²,6.900.000 kr.,7.187 kr./m²,55.948628,12.034154,Halsnæs Kommune
P.O. Pedersens Vej 9,8200 Aarhus N,https://www.ejendomstorvet.dk/koeb/oestjylland/aarhus/lager-produktion/68dbcbfd-69ec-4431-a906-96a56d001dbd,"Lager & produktion, salg",2.722 m²,15.995.000 kr.,5.876 kr./m²,56.204675,10.188277,Aarhus Kommune
Kronborggade 1,2200 København N,https://www.ejendomstorvet.dk/koeb/byen-koebenhavn/koebenhavn/detailhandel-butik/5e2de940-258b-42b6-a3ae-f84aacf61bfb,"Detailhandel & butik, salg",74 m²,1.375.000 kr.,18.581 kr./m²,55.69122,12.544842,Københavns Kommune
Fabriksvej 8,6920 Videbæk,https://www.ejendomstorvet.dk/koeb/vestjylland/ringkoebing-skjern/lager-produktion/62bebbf8-8107-4d9e-987c-9fe7c592c299,"Lager & produktion, salg",2.084 m²,5.800.000 kr.,2.783 kr./m²,55.34761,10.403543,Odense Kommune
D Lauritzens Vej 4,6700 Esbjerg,https://www.ejendomstorvet.dk/koeb/sydjylland/esbjerg/lager-produktion/90c944cd-a076-40c6-8a3e-530d05b94a1a,"Lager & produktion, salg",744 m²,1.900.000 kr.,2.553 kr./m²,55.46614,8.438885,Esbjerg Kommune
Industrivej 2,5492 Vissenbjerg,https://www.ejendomstorvet.dk/koeb/fyn/assens/andre-typer/5d1d1286-4163-400b-a186-b0ee2cc045a8,"Andre typer, salg",584 m²,3.795.000 kr.,6.498 kr./m²,55.355799,10.394623,Odense Kommune
Brænderisvej 22A,4873 Væggerløse,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/guldborgsund/andre-typer/21c705bb-ac85-4c45-abc2-b87c087892f8,"Andre typer, salg",1.244 m²,3.995.000 kr.,3.211 kr./m²,54.701083,11.93235,Guldborgsund Kommune
Bonderupvej 99,4350 Ugerløse,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/holbaek/andre-typer/b95b5b8b-e9f7-42b2-9e21-2f03abb3862c,"Andre typer, salg",2.330 m²,7.495.000 kr.,3.216 kr./m²,55.578033,11.68327,Holbæk Kommune
"Reverdilsgade 6, kl",1701 København V,https://www.ejendomstorvet.dk/koeb/byen-koebenhavn/koebenhavn/detailhandel-butik/280df9c6-dde2-4ac0-bb48-d505b9431c58,"Detailhandel & butik, salg",185 m²,2.700.000 kr.,14.594 kr./m²,,,
Rørvigvej 225,4500 Nykøbing Sj,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/odsherred/hotel-restaurant/20643070-83c0-406f-9aef-27ff5bab3f91,"Hotel & restaurant, salg",227 m²,2.495.000 kr.,10.991 kr./m²,55.938069,11.706485,Odsherred Kommune
Damgade 97,6400 Sønderborg,https://www.ejendomstorvet.dk/koeb/sydjylland/soenderborg/lager-produktion/3cc9a39f-ce7b-465d-be65-46ebf65a1619,"Lager & produktion, salg",710 m²,4.995.000 kr.,7.035 kr./m²,54.928217,9.805465,Sønderborg Kommune
Mundelstrupvej 17B,8381 Tilst,https://www.ejendomstorvet.dk/koeb/oestjylland/aarhus/lager-produktion/3a93601d-4bfe-4980-8b2b-a438d50382ee,"Lager & produktion, salg",254 m²,1.950.000 kr.,7.677 kr./m²,56.193055,10.084323,Aarhus Kommune
Håndværkervej 52,4000 Roskilde,https://www.ejendomstorvet.dk/koeb/oestsjaelland/roskilde/lager-produktion/48ab1d81-381e-4c1a-bac4-fb44ffecef47,"Lager & produktion, salg",485 m²,4.495.000 kr.,9.268 kr./m²,55.640853,12.117501,Roskilde Kommune
Ellegårdvej 4,6400 Sønderborg,https://www.ejendomstorvet.dk/koeb/sydjylland/soenderborg/lager-produktion/4ac8e492-3cc5-43a6-a0c7-7fd8487da6e4,"Lager & produktion, salg",278 m²,2.495.000 kr.,8.974 kr./m²,54.926928,9.795558,Sønderborg Kommune
Tværvej 5,4672 Klippinge,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/stevns/detailhandel-butik/741a87fb-9a66-453b-a671-c39b9d3076f6,"Detailhandel & butik, salg",399 m²,1.650.000 kr.,4.135 kr./m²,55.763496,12.442202,Gladsaxe Kommune
Skærbækvej 98,7000 Fredericia,https://www.ejendomstorvet.dk/koeb/sydjylland/fredericia/grunde/2cc4df8a-838c-4d90-af08-39b2d974c141,"Grunde, salg",4.822 m²,4.000.000 kr.,0 kr./m²,55.519767,9.634658,Fredericia Kommune
Mundelstrupvej 17B,8381 Tilst,https://www.ejendomstorvet.dk/koeb/oestjylland/aarhus/lager-produktion/43ee606b-f03b-4b47-adda-6e10325d720e,"Lager & produktion, salg",254 m²,1.950.000 kr.,7.677 kr./m²,56.193055,10.084323,Aarhus Kommune
Hejningevej 6A,4200 Slagelse,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/slagelse/lager-produktion/6cfbe5ee-d5d6-40eb-a7f7-c6f9429913bf,"Lager & produktion, salg",5.057 m²,10.000.000 kr.,1.977 kr./m²,55.383474,11.291524,Slagelse Kommune
Nørregade 7A,3700 Rønne,https://www.ejendomstorvet.dk/koeb/bornholm/bornholm/andre-typer/f24e4492-4925-43f7-b8f3-7c7d81f1eb0f,"Andre typer, salg",1.199 m²,2.675.000 kr.,2.231 kr./m²,55.777892,12.50439,Lyngby-Taarbæk Kommune
"Salten Skovvej 2, 4 og 6",8653 Them,https://www.ejendomstorvet.dk/koeb/oestjylland/silkeborg/lager-produktion/da1082e5-d829-4ee4-ab0c-38bef7b88a56,"Lager & produktion, salg",7.611 m²,15.000.000 kr.,1.970 kr./m²,,,
Johs Haresvej 2,4863 Eskilstrup,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/guldborgsund/lager-produktion/aa9a44ec-f85e-4794-81d2-eaca513e53ad,"Lager & produktion, salg",628 m²,2.695.000 kr.,4.291 kr./m²,54.853999,11.878539,Guldborgsund Kommune
