Adresse,City,Link,Type,Størrelse,Pris,Pris_m2,latitude,longitude,kommune
Slotsgade 10,8900 Randers C,https://www.ejendomstorvet.dk/koeb/oestjylland/randers/detailhandel-butik/5b972c67-f0de-401e-a5fb-94c02fab179b,"Detailhandel & butik, salg",129 m²,2.250.000 kr.,17.441 kr./m²,55.688276,12.557277,Københavns Kommune
Nykøbingvej 82,4300 Holbæk,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/holbaek/lager-produktion/950230ad-4fd9-4a26-83f8-4004e8f5f727,"Lager & produktion, salg",769 m²,3.995.000 kr.,5.195 kr./m²,54.877138,11.855255,Guldborgsund Kommune
Finlandsvej 8,7100 Vejle,https://www.ejendomstorvet.dk/koeb/sydjylland/vejle/lager-produktion/f5b13e08-49f3-443c-ad5b-59deff66aab0,"Lager & produktion, salg",315 m²,3.200.000 kr.,10.158 kr./m²,56.138814,8.954461,Herning Kommune
Sundsholmen 14,9400 Nørresundby,https://www.ejendomstorvet.dk/koeb/nordjylland/aalborg/lager-produktion/a12df903-52f3-4483-a660-d0a620fd5d17,"Lager & produktion, salg",4.325 m²,21.500.000 kr.,4.971 kr./m²,57.064917,9.951836,Aalborg Kommune
Ndr. Fabriksvej - 4500 m² 17,8722 Hedensted,https://www.ejendomstorvet.dk/koeb//grunde/e6ab2aa9-3b04-4bf8-b804-e29c6c98688b,"Grunde, salg",3.000 m²,795.000 kr.,265 kr./m²,,,
Ndr. Fabriksvej - 4500 m² 17,8722 Hedensted,https://www.ejendomstorvet.dk/koeb//grunde/56db13b0-4d15-4618-a014-ec063f569651,"Grunde, salg",4.500 m²,995.000 kr.,0 kr./m²,,,
Østerhovedvej 43,7323 Give,https://www.ejendomstorvet.dk/koeb/sydjylland/vejle/hotel-restaurant/a991cf3e-961b-428e-aa55-743b2dd74f07,"Hotel & restaurant, salg",1.803 m²,13.900.000 kr.,7.709 kr./m²,55.831631,9.300626,Vejle Kommune
Hydrovej 4,6270 Tønder,https://www.ejendomstorvet.dk/koeb/sydjylland/toender/lager-produktion/6609dcdf-639a-4a91-b0f8-265bc541847b,"Lager & produktion, salg",1.347 m²,4.995.000 kr.,3.708 kr./m²,54.951033,8.863583,Tønder Kommune
Dalager 8-10,2605 Brøndby,https://www.ejendomstorvet.dk/koeb/koebenhavns-omegn/broendby/lager-produktion/ac62974a-dc23-49e9-92df-bba1fb40b90a,"Lager & produktion, salg",2.680 m²,24.000.000 kr.,8.955 kr./m²,55.966827,8.6472266,Ringkøbing-Skjern Kommune
Ndr Landevej 24B & 24C,6270 Tønder,https://www.ejendomstorvet.dk/koeb/sydjylland/toender/andre-typer/00c3230d-569b-4bb8-a20a-fa63364a7aa8,"Andre typer, salg",1.049 m²,4.995.000 kr.,4.761 kr./m²,54.9459103,8.8559602,Tønder Kommune
Jegstrupvej 58,8361 Hasselager,https://www.ejendomstorvet.dk/koeb/oestjylland/aarhus/lager-produktion/49cf4022-e39c-4a8a-88c0-10198dedbc28,"Lager & produktion, salg",468 m²,4.950.000 kr.,10.576 kr./m²,56.105646,10.110056,Aarhus Kommune
Tonne Kjærsvej 64,7000 Fredericia,https://www.ejendomstorvet.dk/koeb/sydjylland/fredericia/lager-produktion/7e8f5beb-e7e6-4ed1-b362-fa5b3251be06,"Lager & produktion, salg",4.960 m²,45.300.000 kr.,9.133 kr./m²,55.535636,9.69563,Fredericia Kommune
Håndværkervej 36A,9320 Hjallerup,https://www.ejendomstorvet.dk/koeb/nordjylland/broenderslev/lager-produktion/279c8fa1-4ccb-4b98-8deb-91ba84c6bb55,"Lager & produktion, salg",647 m²,1.995.000 kr.,3.083 kr./m²,57.174995,10.157094,Brønderslev Kommune
"Amaliegade 36, kld. tv., 1256 København K",1256 København K,https://www.ejendomstorvet.dk/koeb/byen-koebenhavn/koebenhavn/detailhandel-butik/6fdee955-9d0d-4f9a-8923-e12e4ce5e471,"Detailhandel & butik, salg",215 m²,2.500.000 kr.,11.627 kr./m²,,,
