Adresse,Link,Type,Pris,Værelser,Boligstørrelse,Grundstørrelse,latitude,longitude,kommune
"Kobberholm 7,  6400 Sønderborg",https://www.boliga.dk/adresse/kobberholm-7-6400-soenderborg-1625528688,Villa med 6 værelser,4.195.000 kr.,6,242 m²,18.599 m²,54.950983,9.617592,Sønderborg Kommune
"Byhøjvej 1, Hyllerup,  4200 Slagelse",https://www.boliga.dk/adresse/byhoejvej-1-4200-slagelse-655997588,Villa med 7 værelser,4.295.000 kr.,7,196 m²,26.586 m²,55.402461,11.311464,Slagelse Kommune
"Tjæreby Stationsvej 10, Tjæreby,  4230 Skælskør",https://www.boliga.dk/adresse/tjaereby-stationsvej-10-4230-skaelskoer-899109019,Villa med 6 værelser,4.295.000 kr.,6,226 m²,17.705 m²,55.251232,11.360483,Slagelse Kommune
"Ullerupvej 93,  5485 Skamby",https://www.boliga.dk/adresse/ullerupvej-93-5485-skamby-991814319,Villa med 5 værelser,4.495.000 kr.,5,266 m²,8.365 m²,55.514446,10.273449,Nordfyns Kommune
"Vystebyvej 3, Rutsker,  3790 Hasle",https://www.boliga.dk/adresse/vystebyvej-3-3790-hasle-297176908,Villa med 8 værelser,4.500.000 kr.,8,268 m²,12.812 m²,,,
"Højvangsalle 17,  8700 Horsens",https://www.boliga.dk/adresse/hoejvangsalle-17-8700-horsens-1518845290,Villa med 7 værelser,-4%  4.795.000 kr.,7,237 m²,1.602 m²,55.839443,9.861839,Horsens Kommune
"Buskmosevej 14, Rinkenæs,  6300 Gråsten",https://www.boliga.dk/adresse/buskmosevej-14-6300-graasten-864203813,Landejendom med 8 værelser,4.850.000 kr.,8,417 m²,27.242 m²,54.9044113,9.5678218,Sønderborg Kommune
"Nordentoftsvej 1A,  6800 Varde",https://www.boliga.dk/adresse/nordentoftsvej-1a-6800-varde-1798049586,Villa med 7 værelser,4.895.000 kr.,7,229 m²,6.339 m²,55.619542,8.486624,Varde Kommune
"Lindebjergvej 7, Favrbo,  4460 Snertinge",https://www.boliga.dk/adresse/lindebjergvej-7-4460-snertinge-756606208,Landejendom med 6 værelser,-5%  4.950.000 kr.,6,209 m²,79.100 m²,,,
"Granvej 22, Annisse,  3200 Helsinge",https://www.boliga.dk/adresse/granvej-22-3200-helsinge-679478013,Villa med 5 værelser,5.495.000 kr.,5,204 m²,1.735 m²,55.999109,12.195551,Gribskov Kommune
"Møngevej 10,  3210 Vejby",https://www.boliga.dk/adresse/moengevej-10-3210-vejby-725624193,Landejendom med 5 værelser,5.495.000 kr.,5,137 m²,108.000 m²,56.068096,12.159011,Gribskov Kommune
"Grønnevænget 35,  6857 Blåvand",https://www.boliga.dk/adresse/groennevaenget-35-6857-blaavand-1879485329,Fritidshus med 5 værelser,5.798.000 kr.,5,168 m²,Ejerudgift: 4.801 kr. / md.,55.55188,8.124995,Varde Kommune
"Vestvejen 4, Stigs Bjergby,  4440 Mørkøv",https://www.boliga.dk/adresse/vestvejen-4-4440-moerkoev-964756526,Villa med 13 værelser,6.295.000 kr.,13,548 m²,13.403 m²,55.672849,11.475431,Holbæk Kommune
"Østre Frihedsvej 15,  2680 Solrød Strand",https://www.boliga.dk/adresse/oestre-frihedsvej-15-2680-solroed-strand-619685281,Villa med 8 værelser,9.495.000 kr.,8,175 m²,1.732 m²,55.519052,12.216173,Solrød Kommune
"Svanevej 15, Smidstrup,  3250 Gilleleje",https://www.boliga.dk/adresse/svanevej-15-3250-gilleleje-1749617368,Fritidshus med 7 værelser,-11%  10.695.000 kr.,7,132 m²,Ejerudgift: 4.864 kr. / md.,56.116528,12.227465,Gribskov Kommune
"Krogholmen 9,  2840 Holte",https://www.boliga.dk/adresse/krogholmen-9-2840-holte-1146465378,Villa med 5 værelser,17.750.000 kr.,5,138 m²,2.929 m²,55.805389,12.446557,Rudersdal Kommune
"Agiltevej 10,  2970 Hørsholm",https://www.boliga.dk/adresse/agiltevej-10-2970-hoersholm-1209654187,Villa med 6 værelser,17.750.000 kr.,6,254 m²,6.000 m²,55.886236,12.469527,Hørsholm Kommune
"Madum Kirkevej 2, Madum,  6990 Ulfborg",https://www.boliga.dk/adresse/madum-kirkevej-2-6990-ulfborg-438244355,Villa med 4 værelser,350.000 kr.,4,92 m²,11.754 m²,56.24303,8.28921,Holstebro Kommune
"Mosbjergvej 42,  9881 Bindslev",https://www.boliga.dk/adresse/mosbjergvej-42-9881-bindslev-789575031,Landejendom med 3 værelser,-6%  845.000 kr.,3,272 m²,18.522 m²,57.52803,10.236836,Hjørring Kommune
"Ullitshøjvej 83, Gl. Ullits,  9640 Farsø",https://www.boliga.dk/adresse/ullitshoejvej-83-9640-farsoe-1207480156,Landejendom med 4 værelser,950.000 kr.,4,185 m²,28.441 m²,56.723302,9.319722,Vesthimmerlands Kommune
"Bjergets Vej 43, Gjøl,  9440 Aabybro",https://www.boliga.dk/adresse/bjergets-vej-43-9440-aabybro-484382509,Fritidshus med 3 værelser,995.000 kr.,3,50 m²,Ejerudgift: 1.309 kr. / md.,,,
"Bredgade 97,  6830 Nørre Nebel",https://www.boliga.dk/adresse/bredgade-97-6830-noerre-nebel-1192857096,Villa med 8 værelser,-17%  998.000 kr.,8,160 m²,2.175 m²,55.778231,8.296415,Varde Kommune
"Harritslevvej 51,  5400 Bogense",https://www.boliga.dk/adresse/harritslevvej-51-5400-bogense-1577267159,Villa med 5 værelser,1.195.000 kr.,5,97 m²,1.783 m²,55.547257,10.104525,Nordfyns Kommune
"Digeparken 6,  4873 Væggerløse",https://www.boliga.dk/adresse/digeparken-6-4873-vaeggerloese-1560875587,Fritidshus med 2 værelser,1.200.000 kr.,2,30 m²,Ejerudgift: 1.038 kr. / md.,54.690844,11.968336,Guldborgsund Kommune
"Auningvej 85, Nørager,  8961 Allingåbro",https://www.boliga.dk/adresse/auningvej-85-8961-allingaabro-520595633,Villa med 5 værelser,1.295.000 kr.,5,160 m²,1.514 m²,56.470026,10.477037,Norddjurs Kommune
"Lynglund 16, Lyngså,  9300 Sæby",https://www.boliga.dk/adresse/lynglund-16-9300-saeby-1190545780,Fritidshus med 4 værelser,1.298.000 kr.,4,90 m²,Ejerudgift: 1.446 kr. / md.,57.241406,10.525141,Frederikshavn Kommune
"Kvartsvej 11,  7860 Spøttrup",https://www.boliga.dk/adresse/kvartsvej-11-7860-spoettrup-481222340,Fritidshus med 4 værelser,-7%  1.395.000 kr.,4,121 m²,Ejerudgift: 967 kr. / md.,56.659147,8.782581,Skive Kommune
"Tevringvej 8, Vinum,  6780 Skærbæk",https://www.boliga.dk/adresse/tevringvej-8-6780-skaerbaek-1362361645,Landejendom med 5 værelser,1.450.000 kr.,5,143 m²,26.760 m²,55.129322,8.827234,Tønder Kommune
"Løve Gl Landevej 17, Løve,  4270 Høng",https://www.boliga.dk/adresse/loeve-gl-landevej-17-4270-hoeng-152142453,Villa med 3 værelser,1.595.000 kr.,3,152 m²,1.620 m²,55.484966,11.294248,Kalundborg Kommune
"Skørpingvej 48, Siem,  9575 Terndrup",https://www.boliga.dk/adresse/skoerpingvej-48-9575-terndrup-927909903?e=2205137,Villa med 7 værelser,1.595.000 kr.,7,216 m²,8.000 m²,56.821612,10.010399,Rebild Kommune
"Føltvedvej 22, Øster Hassing,  9362 Gandrup",https://www.boliga.dk/adresse/foeltvedvej-22-9362-gandrup-897905019,Villa med 7 værelser,1.645.000 kr.,7,193 m²,14.868 m²,,,
"Kronvildtvej 38, Tranum,  9460 Brovst",https://www.boliga.dk/adresse/kronvildtvej-38-9460-brovst-105891574,Fritidshus med 5 værelser,1.650.000 kr.,5,105 m²,Ejerudgift: 1.668 kr. / md.,,,
"Klokkedal 30, Bramdrup,  6100 Haderslev",https://www.boliga.dk/adresse/klokkedal-30-6100-haderslev-435251966,Villa med 5 værelser,1.695.000 kr.,5,158 m²,3.533 m²,55.290638,9.442665,Haderslev Kommune
"Nørreløkke 22, Hjortebjerg,  5400 Bogense",https://www.boliga.dk/adresse/noerreloekke-22-5400-bogense-1022707835,Villa med 6 værelser,1.795.000 kr.,6,180 m²,5.856 m²,,,
"Hejrevænget 32, Tibirke Sand,  3300 Frederiksværk",https://www.boliga.dk/adresse/hejrevaenget-32-3300-frederiksvaerk-223691363,Fritidshus med 4 værelser,1.995.000 kr.,4,67 m²,Ejerudgift: 3.065 kr. / md.,,,
"Herningvej 108,  7500 Holstebro",https://www.boliga.dk/adresse/herningvej-108-7500-holstebro-289979222,Villa med 6 værelser,1.995.000 kr.,6,217 m²,3.413 m²,56.324521,8.668091,Holstebro Kommune
"Bavnevej 41,  8831 Løgstrup",https://www.boliga.dk/adresse/bavnevej-41-8831-loegstrup-2211766,Villa med 16 værelser,1.995.000 kr.,16,380 m²,2.940 m²,56.5233821,9.3559956,Viborg Kommune
"Frans Julius Vej 32, Søndervig,  6950 Ringkøbing",https://www.boliga.dk/adresse/frans-julius-vej-32-6950-ringkoebing-1430514725,Fritidshus med 5 værelser,2.045.000 kr.,5,124 m²,Ejerudgift: 2.373 kr. / md.,,,
"Næsvangsvej 9,  4550 Asnæs",https://www.boliga.dk/adresse/naesvangsvej-9-4550-asnaes-491829002,Villa med 4 værelser,2.095.000 kr.,4,110 m²,2.506 m²,55.800145,11.509644,Odsherred Kommune
"Grønnegade 21+23, Ulbølle,  5762 Vester Skerninge",https://www.boliga.dk/adresse/groennegade-21--23-5762-vester-skerninge-1172499844,Villa med 3 værelser,2.195.000 kr.,3,127 m²,9.581 m²,,,
"Skørpingvej 48, Siem,  9575 Terndrup",https://www.boliga.dk/adresse/skoerpingvej-48-9575-terndrup-927909903?e=2205136,Landejendom med 7 værelser,2.295.000 kr.,7,216 m²,40.000 m²,56.821612,10.010399,Rebild Kommune
"Spanagervej 40,  4632 Bjæverskov",https://www.boliga.dk/adresse/spanagervej-40-4632-bjaeverskov-1999046133,Villa med 3 værelser,2.495.000 kr.,3,126 m²,4.911 m²,55.466933,12.049898,Køge Kommune
"Strandhusvej 4,  4500 Nykøbing Sj",https://www.boliga.dk/adresse/strandhusvej-4-4500-nykoebing-sj-525077722,Fritidshus med 5 værelser,2.595.000 kr.,5,92 m²,Ejerudgift: 2.861 kr. / md.,55.935791,11.638477,Odsherred Kommune
"Hjedsbækvej 150, Hjedsbæk,  9541 Suldrup",https://www.boliga.dk/adresse/hjedsbaekvej-150-9541-suldrup-543330675,Villa med 4 værelser,2.795.000 kr.,4,182 m²,7.697 m²,56.863856,9.709047,Rebild Kommune
"Jyderupvej 1, Jyderup,  4640 Faxe",https://www.boliga.dk/adresse/jyderupvej-1-4640-faxe-303495027,Landejendom med 4 værelser,2.865.000 kr.,4,183 m²,10.000 m²,55.233958,12.080298,Faxe Kommune
"Assensvej 200, Gamborg,  5500 Middelfart",https://www.boliga.dk/adresse/assensvej-200-5500-middelfart-418778401,Villa med 5 værelser,2.865.000 kr.,5,247 m²,11.809 m²,,,
"Varnæsvej 600, Ny Skovbøl,  6200 Aabenraa",https://www.boliga.dk/adresse/varnaesvej-600-6200-aabenraa-1881288431,Landejendom med 6 værelser,2.895.000 kr.,6,316 m²,5.536 m²,55.018715,9.539108,Aabenraa Kommune
"Ugiltvej 399,  9870 Sindal",https://www.boliga.dk/adresse/ugiltvej-399-9870-sindal-1566743734,Landejendom med 8 værelser,2.895.000 kr.,8,271 m²,54.455 m²,57.425928,10.160938,Hjørring Kommune
"Trabjergvej 1,  7500 Holstebro",https://www.boliga.dk/adresse/trabjergvej-1-7500-holstebro-589266148,Villa med 6 værelser,-6%  2.995.000 kr.,6,241 m²,29.956 m²,56.403946,8.761667,Holstebro Kommune
"Byvej 1, Heden,  5750 Ringe",https://www.boliga.dk/adresse/byvej-1-5750-ringe-1071628782,Villa med 6 værelser,3.200.000 kr.,6,291 m²,6.533 m²,55.247601,10.372411,Faaborg-Midtfyn Kommune
"Grambovej 50, Nårup,  5690 Tommerup",https://www.boliga.dk/adresse/grambovej-50-5690-tommerup-563453696,Landejendom med 8 værelser,3.395.000 kr.,8,251 m²,36.569 m²,,,
"Vejlby Klit 6D, Vejlby,  7673 Harboøre",https://www.boliga.dk/adresse/vejlby-klit-6d-7673-harbooere-1882610152,Fritidshus med 6 værelser,3.495.000 kr.,6,130 m²,Ejerudgift: 2.550 kr. / md.,56.578017,8.143781,Lemvig Kommune
"Hovvejen 55, Enslev,  8361 Hasselager",https://www.boliga.dk/adresse/hovvejen-55-8361-hasselager-1604778599,Landejendom med 6 værelser,3.495.000 kr.,6,189 m²,67.000 m²,56.091412,10.074085,Aarhus Kommune
"Harestykket 2,  4581 Rørvig",https://www.boliga.dk/adresse/harestykket-2-4581-roervig-680828777,Fritidshus med 4 værelser,3.695.000 kr.,4,71 m²,Ejerudgift: 3.536 kr. / md.,55.959392,11.754255,Odsherred Kommune
"Brændekilde Bygade 16, Brændekilde,  5250 Odense SV",https://www.boliga.dk/adresse/braendekilde-bygade-16-5250-odense-sv-198411477,Villa med 5 værelser,3.745.000 kr.,5,226 m²,17.510 m²,55.349966,10.274478,Odense Kommune
"Gl. Stoustrupvej 50, Stoustrup,  7000 Fredericia",https://www.boliga.dk/adresse/gl-stoustrupvej-50-7000-fredericia-845169695,Villa med 6 værelser,3.875.000 kr.,6,175 m²,3.641 m²,,,
"Kalsmosevej 5, Gantrup,  8752 Østbirk",https://www.boliga.dk/adresse/kalsmosevej-5-8752-oestbirk-1158444925,Landejendom med 7 værelser,3.975.000 kr.,7,204 m²,11.200 m²,,,
"Søren Møllersvej 10,  8410 Rønde",https://www.boliga.dk/adresse/soeren-moellersvej-10-8410-roende-1482410662,Villa med 4 værelser,3.995.000 kr.,4,225 m²,1.763 m²,56.298285,10.427655,Syddjurs Kommune
"Moreavej 10,  9492 Blokhus",https://www.boliga.dk/adresse/moreavej-10-9492-blokhus-657039397,Fritidshus med 4 værelser,3.998.000 kr.,4,75 m²,Ejerudgift: 3.051 kr. / md.,57.261499,9.59704,Jammerbugt Kommune
"Håstrupvej 7, Smidstrup,  7000 Fredericia",https://www.boliga.dk/adresse/haastrupvej-7-7000-fredericia-384460257,Villa med 6 værelser,4.495.000 kr.,6,316 m²,18.296 m²,55.611043,9.564696,Fredericia Kommune
"Kollemarken 37,  6857 Blåvand",https://www.boliga.dk/adresse/kollemarken-37-6857-blaavand-1004175007,Fritidshus med 8 værelser,4.695.000 kr.,8,188 m²,Ejerudgift: 4.046 kr. / md.,55.555383,8.119845,Varde Kommune
"Tisetvej 58,  8355 Solbjerg",https://www.boliga.dk/adresse/tisetvej-58-8355-solbjerg-1228206006,Landejendom med 7 værelser,4.695.000 kr.,7,237 m²,70.000 m²,56.051291,10.106508,Aarhus Kommune
"Ribe Landevej 19A,  6100 Haderslev",https://www.boliga.dk/adresse/ribe-landevej-19a-6100-haderslev-1301926083,Villa med 5 værelser,4.795.000 kr.,5,200 m²,1.678 m²,55.250179,9.472927,Haderslev Kommune
"Dr. Louisesvej 30, Nødebohuse,  3390 Hundested",https://www.boliga.dk/adresse/dr-louisesvej-30-3390-hundested-73562547,Fritidshus med 3 værelser,4.895.000 kr.,3,112 m²,Ejerudgift: 3.063 kr. / md.,,,
"Kirkevænget 31,  4581 Rørvig",https://www.boliga.dk/adresse/kirkevaenget-31-4581-roervig-2018054702,Fritidshus med 3 værelser,-5%  4.995.000 kr.,3,110 m²,Ejerudgift: 4.704 kr. / md.,55.95131,11.730625,Odsherred Kommune
"Frederiksværkvej 189,  3300 Frederiksværk",https://www.boliga.dk/adresse/frederiksvaerkvej-189-3300-frederiksvaerk-1155769350,Fritidshus med 5 værelser,4.995.000 kr.,5,139 m²,Ejerudgift: 3.903 kr. / md.,56.017608,12.055198,Gribskov Kommune
"Grønstræde 14, Ell Mark,  4573 Højby",https://www.boliga.dk/adresse/groenstraede-14-4573-hoejby-1399419400,Landejendom med 9 værelser,4.995.000 kr.,9,320 m²,64.900 m²,,,
"Tornbjergvej 18, Ejby,  4130 Viby Sjælland",https://www.boliga.dk/adresse/tornbjergvej-18-4130-viby-sjaelland-722135445,Villa med 5 værelser,5.495.000 kr.,5,184 m²,4.010 m²,55.494855,12.038935,Køge Kommune
"Fiskekrogen 30, Råbylille,  4780 Stege",https://www.boliga.dk/adresse/fiskekrogen-30-4780-stege-603799979,Fritidshus med 9 værelser,5.495.000 kr.,9,242 m²,Ejerudgift: 3.533 kr. / md.,54.970885,12.383817,Vordingborg Kommune
"Kystvejen 12, Saksild Str,  8300 Odder",https://www.boliga.dk/adresse/kystvejen-12-8300-odder-1204637270,Villa med 5 værelser,-8%  5.750.000 kr.,5,175 m²,1.800 m²,,,
"Tystrupvej 33,  4250 Fuglebjerg",https://www.boliga.dk/adresse/tystrupvej-33-4250-fuglebjerg-1627459465,Landejendom med 6 værelser,6.500.000 kr.,6,142 m²,41.250 m²,55.354846,11.577246,Næstved Kommune
"Banevej 25,  4180 Sorø",https://www.boliga.dk/adresse/banevej-25-4180-soroe-386528588,Villa med 7 værelser,6.775.000 kr.,7,213 m²,2.364 m²,55.421754,11.566875,Sorø Kommune
"Bakmøllevej 273,  9380 Vestbjerg",https://www.boliga.dk/adresse/bakmoellevej-273-9380-vestbjerg-1325506598,Villa med 7 værelser,8.500.000 kr.,7,349 m²,4.470 m²,57.138718,9.960189,Aalborg Kommune
"Molshovedvej 20,  8420 Knebel",https://www.boliga.dk/adresse/molshovedvej-20-8420-knebel-1211102565,Fritidshus med 7 værelser,10.800.000 kr.,7,115 m²,Ejerudgift: 10.880 kr. / md.,56.163857,10.392998,Syddjurs Kommune
"Ved Volden 9,  6857 Blåvand",https://www.boliga.dk/adresse/ved-volden-9-6857-blaavand-90451789,Fritidshus med 11 værelser,10.800.000 kr.,11,301 m²,Ejerudgift: 5.814 kr. / md.,55.558045,8.146433,Varde Kommune
"Gimlesvej 1A,  8600 Silkeborg",https://www.boliga.dk/adresse/gimlesvej-1a-8600-silkeborg-845183776,Villa med 8 værelser,10.995.000 kr.,8,296 m²,1.978 m²,56.163777,9.495775,Silkeborg Kommune
"Agiltevej 1,  2970 Hørsholm",https://www.boliga.dk/adresse/agiltevej-1-2970-hoersholm-905791279,Landejendom med 9 værelser,13.995.000 kr.,9,209 m²,126.000 m²,55.888445,12.474619,Hørsholm Kommune
"Klostermarken 37,  9000 Aalborg",https://www.boliga.dk/adresse/klostermarken-37-9000-aalborg-2042251593,Villa med 5 værelser,19.995.000 kr.,5,304 m²,2.167 m²,57.04818,9.90131,Aalborg Kommune
"Stumpedyssevej 8,  2970 Hørsholm",https://www.boliga.dk/adresse/stumpedyssevej-8-2970-hoersholm-1433988303,Landejendom med 5 værelser,23.995.000 kr.,5,170 m²,26.680 m²,55.886622,12.428649,Hørsholm Kommune
"Hjelm Ø,  4862 Guldborg",https://www.boliga.dk/adresse/hjelm-oe-4862-guldborg-2063168,Fritidsgrund,195.000 kr.,10.370 m²,Ejerudgift: 58 kr. / md.,,,,
"Lerbækvej 8, Lerbæk,  4792 Askeby",https://www.boliga.dk/adresse/lerbaekvej-8-4792-askeby-493053493,Villa med 4 værelser,895.000 kr.,4,117 m²,1.563 m²,54.931639,12.194991,Vordingborg Kommune
"Hybenvangen 25, Jegum,  6840 Oksbøl",https://www.boliga.dk/adresse/hybenvangen-25-6840-oksboel-1217563638,Fritidshus med 5 værelser,898.000 kr.,5,71 m²,Ejerudgift: 1.109 kr. / md.,55.669655,8.319708,Varde Kommune
"Ulstedvej 44,  7884 Fur",https://www.boliga.dk/adresse/ulstedvej-44-7884-fur-1779484620,Fritidshus med 4 værelser,-12%  1.050.000 kr.,4,99 m²,Ejerudgift: 1.329 kr. / md.,56.845415,9.034226,Skive Kommune
"Fasanvej 29,  3200 Helsinge",https://www.boliga.dk/adresse/fasanvej-29-3200-helsinge-191331103,Fritidshus med 1 værelse,1.185.000 kr.,1,23 m²,Ejerudgift: 1.594 kr. / md.,56.01936,12.161445,Gribskov Kommune
"Ulvshalevej 331, Ulvshale,  4780 Stege",https://www.boliga.dk/adresse/ulvshalevej-331-4780-stege-1054561662,Fritidshus med 2 værelser,1.195.000 kr.,2,67 m²,Ejerudgift: 1.728 kr. / md.,55.047957,12.247034,Vordingborg Kommune
"Gl Landevej 36,  9560 Hadsund",https://www.boliga.dk/adresse/gl-landevej-36-9560-hadsund-1286444173,Fritidshus med 5 værelser,-7%  1.295.000 kr.,5,74 m²,Ejerudgift: 1.309 kr. / md.,56.784085,10.281414,Mariagerfjord Kommune
"Borkvej 14, No,  6950 Ringkøbing",https://www.boliga.dk/adresse/borkvej-14-6950-ringkoebing-664647495,Villa med 5 værelser,1.295.000 kr.,5,169 m²,9.157 m²,56.0952314,8.3140971,Ringkøbing-Skjern Kommune
"Skikkildbjergvej 1,  6520 Toftlund",https://www.boliga.dk/adresse/skikkildbjergvej-1-6520-toftlund-3040915,Villa med 4 værelser,1.345.000 kr.,4,122 m²,4.999 m²,55.161285,8.959411,Tønder Kommune
"Stevnshøjvej 4A, Kogsbølle,  5800 Nyborg",https://www.boliga.dk/adresse/stevnshoejvej-4a-5800-nyborg-1567505737,Villa med 4 værelser,1.450.000 kr.,4,147 m²,1.544 m²,55.279178,10.742288,Nyborg Kommune
"Søndergade 93B,  9480 Løkken",https://www.boliga.dk/adresse/soendergade-93b-9480-loekken-603041194,Fritidshus med 4 værelser,1.495.000 kr.,4,58 m²,Ejerudgift: 1.863 kr. / md.,57.363006,9.709885,Hjørring Kommune
"Øerkrogvejen 2 340,  8400 Ebeltoft",https://www.boliga.dk/adresse/oeerkrogvejen-2-340-8400-ebeltoft-219620697,Fritidshus med 5 værelser,1.545.000 kr.,5,58 m²,Ejerudgift: 3.333 kr. / md.,,,
"Stolpehuse 2,  4652 Hårlev",https://www.boliga.dk/adresse/stolpehuse-2-4652-haarlev-1521938002?e=2204225,Landejendom med 5 værelser,1.695.000 kr.,5,131 m²,6.242 m²,55.372084,12.257629,Stevns Kommune
"Rødhus Kirkevej 15, Rødhus,  9490 Pandrup",https://www.boliga.dk/adresse/roedhus-kirkevej-15-9490-pandrup-110182237,Villa med 4 værelser,-5%  1.795.000 kr.,4,111 m²,Ejerudgift: 2.164 kr. / md.,57.208423,9.547857,Jammerbugt Kommune
"Hagestedvej 21,  4532 Gislinge",https://www.boliga.dk/adresse/hagestedvej-21-4532-gislinge-1121138654,Landejendom med 3 værelser,1.795.000 kr.,3,185 m²,36.574 m²,55.736451,11.557442,Holbæk Kommune
"Lærkevænget 24, Sandet,  3300 Frederiksværk",https://www.boliga.dk/adresse/laerkevaenget-24-3300-frederiksvaerk-1744323572,Fritidshus med 2 værelser,2.195.000 kr.,2,69 m²,Ejerudgift: 2.677 kr. / md.,,,
"Balshavevej 49, Ndr Randlev,  8300 Odder",https://www.boliga.dk/adresse/balshavevej-49-8300-odder-769369992,Villa med 7 værelser,2.195.000 kr.,7,200 m²,1.562 m²,,,
"Brommevej 22, Østerlars,  3760 Gudhjem",https://www.boliga.dk/adresse/brommevej-22-3760-gudhjem-434044638,Villa med 5 værelser,2.195.000 kr.,5,182 m²,2.843 m²,,,
"Kirkesøvej 2, Nørre Søby,  5792 Årslev",https://www.boliga.dk/adresse/kirkesoevej-2-5792-aarslev-953703940,Villa med 7 værelser,2.295.000 kr.,7,177 m²,2.385 m²,55.286331,10.378163,Faaborg-Midtfyn Kommune
"Vester Mosevej 26, Husby,  6990 Ulfborg",https://www.boliga.dk/adresse/vester-mosevej-26-6990-ulfborg-1467130379?e=2204665,Fritidshus med 4 værelser,2.392.000 kr.,4,90 m²,Ejerudgift: 2.046 kr. / md.,56.270228,8.152358,Holstebro Kommune
"Alrøvej 47, Falling,  8300 Odder",https://www.boliga.dk/adresse/alroevej-47-8300-odder-2110989474,Landejendom med 5 værelser,2.398.000 kr.,5,180 m²,33.000 m²,55.912135,10.144366,Odder Kommune
"Hindbjergvej 19, Hindbjerg,  8620 Kjellerup",https://www.boliga.dk/adresse/hindbjergvej-19-8620-kjellerup-2096007761,Villa med 8 værelser,2.495.000 kr.,8,251 m²,13.695 m²,56.302599,9.47461,Silkeborg Kommune
"Frodeslundvej 74, Vesterhede,  7250 Hejnsvig",https://www.boliga.dk/adresse/frodeslundvej-74-7250-hejnsvig-193863984,Landejendom med 6 værelser,2.495.000 kr.,6,208 m²,61.615 m²,,,
"Skørpingvej 71, Hellum,  9520 Skørping",https://www.boliga.dk/adresse/skoerpingvej-71-9520-skoerping-339172400,Landejendom med 4 værelser,2.495.000 kr.,4,151 m²,67.200 m²,56.820577,9.946968,Rebild Kommune
"Lodbergsvej 433, Søndervig,  6950 Ringkøbing",https://www.boliga.dk/adresse/lodbergsvej-433-6950-ringkoebing-1975053262,Fritidshus med 4 værelser,2.595.000 kr.,4,81 m²,Ejerudgift: 2.578 kr. / md.,56.129674,8.118029,Ringkøbing-Skjern Kommune
"Viborgvej 775,  8471 Sabro",https://www.boliga.dk/adresse/viborgvej-775-8471-sabro-1733025646,Landejendom med 4 værelser,2.595.000 kr.,4,148 m²,55.000 m²,56.213487,10.002909,Aarhus Kommune
"Bukholmvej 38, Halk,  6100 Haderslev",https://www.boliga.dk/adresse/bukholmvej-38-6100-haderslev-468802620,Villa med 8 værelser,2.775.000 kr.,8,242 m²,3.666 m²,,,
"Holmbjergvej 55,  8420 Knebel",https://www.boliga.dk/adresse/holmbjergvej-55-8420-knebel-1872301565,Villa med 6 værelser,2.795.000 kr.,6,133 m²,1.719 m²,56.203453,10.47618,Syddjurs Kommune
"Kobbelgårdsvej 7A, Råby,  4791 Borre",https://www.boliga.dk/adresse/kobbelgaardsvej-7a-4791-borre-1215673596,Fritidshus med 6 værelser,2.795.000 kr.,6,147 m²,Ejerudgift: 5.623 kr. / md.,,,
"Rørsangervej 2 + 4, Røsnæs,  4400 Kalundborg",https://www.boliga.dk/adresse/roersangervej-2---4-4400-kalundborg-59271647,Fritidshus med 3 værelser,2.850.000 kr.,3,61 m²,Ejerudgift: 3.687 kr. / md.,,,
"Poppelvej 15,  5492 Vissenbjerg",https://www.boliga.dk/adresse/poppelvej-15-5492-vissenbjerg-880694590,Villa med 4 værelser,2.995.000 kr.,4,230 m²,1.609 m²,55.388842,10.121154,Assens Kommune
"Egebjergvej 315, Abildøre,  4560 Vig",https://www.boliga.dk/adresse/egebjergvej-315-4560-vig-671288101,Fritidshus med 3 værelser,2.995.000 kr.,3,106 m²,Ejerudgift: 3.341 kr. / md.,55.818559,11.664447,Odsherred Kommune
"Vongevej 52, Ådal,  7300 Jelling",https://www.boliga.dk/adresse/vongevej-52-7300-jelling-745888082,Villa med 7 værelser,2.995.000 kr.,7,222 m²,16.000 m²,55.812823,9.462147,Vejle Kommune
"Agerøvej 18, V Hvidbjerg,  7960 Karby",https://www.boliga.dk/adresse/ageroevej-18-7960-karby-1227622708,Landejendom med 7 værelser,2.995.000 kr.,7,277 m²,131.900 m²,,,
"Jomfruen 4, Pirup,  9492 Blokhus",https://www.boliga.dk/adresse/jomfruen-4-9492-blokhus-1320266285,Fritidshus med 4 værelser,-14%  2.995.000 kr.,4,102 m²,Ejerudgift: 2.728 kr. / md.,57.268357,9.626093,Jammerbugt Kommune
"Hedevej 38, Kragelund,  8723 Løsning",https://www.boliga.dk/adresse/hedevej-38-8723-loesning-1590770095,Landejendom med 5 værelser,2.995.000 kr.,5,170 m²,79.300 m²,,,
"Ellingevej 5,  4573 Højby",https://www.boliga.dk/adresse/ellingevej-5-4573-hoejby-1612037504,Landejendom med 4 værelser,2.998.000 kr.,4,144 m²,119.648 m²,55.902236,11.590292,Odsherred Kommune
"Mejerholmvej 1,  6270 Tønder",https://www.boliga.dk/adresse/mejerholmvej-1-6270-toender-216947633,Landejendom med 8 værelser,3.195.000 kr.,8,280 m²,67.131 m²,54.933394,8.891829,Tønder Kommune
